Position,Club,Played,Won,Drawn,Lost,GF,GA,GD,Points,Next
1,Liverpool,31,23,7,1,70,18,+52,76,Tottenham Hotspur
2,Manchester City,30,24,2,4,79,21,+58,74,Fulham
3,Tottenham Hotspur,30,20,1,9,57,32,+25,61,Liverpool
4,Arsenal,30,18,6,6,63,39,+24,60,Newcastle United
5,Manchester United,30,17,7,6,58,40,+18,58,Watford
6,Chelsea,30,17,6,7,50,33,+17,57,Cardiff City
7,Wolverhampton Wanderers,30,12,8,10,38,36,+2,44,Burnley
8,Watford,30,12,7,11,42,44,-2,43,Manchester United
9,West Ham United,31,12,6,13,41,46,-5,42,Everton
10,Leicester City,31,12,5,14,40,43,-3,41,AFC
11,Everton,31,11,7,13,43,42,+1,40,West Ham United
12,Bournemouth,31,11,5,15,43,56,-13,38,Leicester City
13,Newcastle United,31,9,8,14,31,40,-9,35,Arsenal
14,Crystal Palace,30,9,6,15,36,41,-5,33,Huddersfield Town
15,Brighton and Hove Albion,29,9,6,14,32,42,-10,33,Southampton
16,Southampton,30,7,9,14,34,50,-16,30,Brighton and Hove Albion
17,Burnley,31,8,6,17,35,59,-24,30,Wolverhampton Wanderers
18,Cardiff City,30,8,4,18,27,57,-30,28,Chelsea
19,Fulham,31,4,5,22,29,70,-41,17,Manchester City
20,Huddersfield Town,31,3,5,23,18,57,-39,14,Crystal Palace
