name,position,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Clean sheets,Goals conceded,Errors leading to goal,Own goals,Yellow cards,Red cards,Fouls,Goals,Assists,Passes,Passes per match,Accurate long balls,Appearances,Wins,Losses,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Big chances created,Crosses,Cross accuracy %,Through balls,Offsides,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed
Mat Ryan,Goalkeeper,65,0,6,13,2,1,63,206,4,34,0,0,1,0,1,0,0,626,28.45,223,22,6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Steele,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Button,Goalkeeper,14,0,2,2,1,1,9,34,1,5,0,0,0,0,0,0,0,99,24.75,27,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Sanchez,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruno,Defender,,,,,,,,,2,6,1,0,2,0,3,0,1,281,35.13,13,8,4,3,12,58,0,1,9,14,6,0,38,23,19,3,4,11,1,12,25,0,2,0,0,0,0,,,,,,,
Gaëtan Bong,Defender,,,,,,,,,4,29,0,0,0,0,10,0,0,506,26.63,22,19,4,11,14,64,0,0,23,38,12,0,99,51,66,10,23,30,0,47,19,0,0,0,0,0,0,,,,,,,
Lewis Dunk,Defender,,,,,,,,,5,34,2,0,4,1,19,2,0,989,41.21,107,24,7,12,32,63,2,0,36,126,78,1,148,121,76,0,79,40,0,1,0,0,0,2,0,0,0,,,,,,,
Shane Duffy,Defender,,,,,,,,,5,33,0,0,4,1,15,5,1,874,38.00,75,23,7,10,17,47,0,1,28,159,107,3,96,149,61,2,121,39,0,1,100,0,4,3,1,1,1,,,,,,,
Leon Balogun,Defender,,,,,,,,,0,10,1,0,2,0,5,1,0,216,27.00,15,8,3,4,12,50,0,0,17,32,16,0,27,27,19,0,13,10,0,0,0,0,1,0,1,0,0,,,,,,,
Bernardo,Defender,,,,,,,,,1,13,0,0,2,0,10,0,1,396,36.00,12,11,4,4,35,60,0,1,21,30,15,1,59,76,46,7,23,20,0,16,13,0,0,0,0,0,0,,,,,,,
Martín Montoya,Defender,,,,,,,,,2,31,0,0,2,0,24,0,1,638,35.44,26,18,3,10,42,57,0,1,38,49,20,0,80,84,71,10,19,14,1,29,48,1,0,0,0,0,0,,,,,,,
Dan Burn,Defender,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
