name,position,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Clean sheets,Goals conceded,Errors leading to goal,Own goals,Yellow cards,Red cards,Fouls,Goals,Assists,Passes,Passes per match,Accurate long balls,Appearances,Wins,Losses,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Big chances created,Crosses,Cross accuracy %,Through balls,Offsides,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed
Jordan Pickford,Goalkeeper,73,2,7,9,3,11,113,215,6,39,3,0,1,0,0,0,0,781,28.93,202,27,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maarten Stekelenburg,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mateusz Hewelt,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
João Virgínia,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leighton Baines,Defender,,,,,,,,,0,6,0,0,0,0,2,0,0,191,31.83,7,6,2,1,8,75,0,1,2,7,2,0,15,11,9,0,2,3,0,18,33,0,1,0,0,0,0,,,,,,,
Michael Keane,Defender,,,,,,,,,6,34,1,0,2,0,13,1,2,1166,48.58,78,24,9,11,31,58,0,3,32,131,84,1,119,184,104,4,143,83,3,3,33,0,0,1,0,0,1,,,,,,,
Phil Jagielka,Defender,,,,,,,,,0,0,0,0,0,1,1,0,0,27,13.50,3,2,0,0,0,0,0,0,0,3,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Seamus Coleman,Defender,,,,,,,,,5,28,0,1,1,0,13,1,0,818,40.90,30,20,7,7,35,54,0,3,18,54,30,0,118,99,78,14,34,28,2,57,21,0,1,0,1,0,0,,,,,,,
Jonjoe Kenny,Defender,,,,,,,,,1,12,0,0,0,0,7,0,1,393,43.67,17,9,3,6,21,76,0,0,12,25,12,0,49,47,37,5,21,11,1,15,27,0,0,0,0,0,1,,,,,,,
Lucas Digne,Defender,,,,,,,,,5,31,0,1,3,1,28,3,3,958,39.92,38,24,8,11,49,65,0,10,39,53,31,0,127,135,95,10,54,26,12,197,28,0,1,0,0,3,2,,,,,,,
