name,position,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Clean sheets,Goals conceded,Errors leading to goal,Own goals,Yellow cards,Red cards,Fouls,Goals,Assists,Passes,Passes per match,Accurate long balls,Appearances,Wins,Losses,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Big chances created,Crosses,Cross accuracy %,Through balls,Offsides,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed
Jonas Lössl,Goalkeeper,61,1,14,18,3,6,62,162,3,37,0,0,0,0,0,0,0,792,34.43,261,23,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Hamer,Goalkeeper,13,0,0,2,2,1,6,24,0,11,2,0,0,0,0,0,0,99,24.75,39,4,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joel Coleman,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tommy Smith,Defender,,,,,,,,,1,17,0,0,2,0,4,0,0,227,32.43,11,7,1,6,14,50,0,0,11,17,4,0,40,24,20,2,6,6,0,12,8,0,0,0,0,0,0,,,,,,,
Chris Löwe,Defender,,,,,,,,,1,36,0,0,1,0,7,0,1,585,29.25,49,20,1,16,26,62,0,2,16,35,13,0,71,63,50,7,20,18,1,101,25,0,2,0,0,0,1,,,,,,,
Zanka,Defender,,,,,,,,,3,34,0,0,6,0,33,3,1,1071,48.68,63,22,1,16,46,63,0,1,65,73,21,0,142,95,107,3,33,49,1,4,25,0,0,1,1,1,0,,,,,,,
Christopher Schindler,Defender,,,,,,,,,4,47,1,0,4,1,20,1,0,1116,42.92,106,26,2,19,41,59,0,1,45,86,41,0,85,160,121,1,105,86,1,0,0,0,0,1,0,0,0,,,,,,,
Jon Gorenc Stankovic,Defender,,,,,,,,,0,6,0,0,0,0,0,1,0,14,7.00,1,2,1,1,1,100,0,0,0,3,2,0,3,4,3,1,1,1,0,0,0,0,0,0,0,1,0,,,,,,,
Terence Kongolo,Defender,,,,,,,,,2,41,1,1,3,0,15,1,0,760,34.55,48,22,2,17,47,55,1,0,44,52,19,1,74,115,63,7,44,28,1,22,18,0,2,1,0,0,0,,,,,,,
Florent Hadergjonaj,Defender,,,,,,,,,4,29,1,0,1,0,11,0,0,675,32.14,31,21,2,14,29,55,0,3,18,24,10,0,97,75,60,9,21,20,2,86,22,2,2,0,0,0,0,,,,,,,
Erik Durm,Defender,,,,,,,,,2,22,0,0,0,0,7,0,1,445,24.72,23,18,1,13,24,63,0,4,25,21,5,0,73,66,58,10,15,29,0,44,25,0,1,0,0,0,1,,,,,,,
Jonathan Hogg,Midfielder,,,,,,,,,,,0,,4,1,34,0,1,1119,58.89,56,19,2,13,49,61,,1,53,9,4,,175,100,96,7,21,23,0,6,33,3,0,0,0,0,1,0.00,0,0,4,1,25,0
Philip Billing,Midfielder,,,,,,,,,,,0,,5,0,32,2,0,951,43.23,72,22,2,15,72,58,,15,47,32,18,,157,191,114,19,73,25,0,53,17,0,2,1,0,1,3,0.09,0,0,38,8,21,0
Aaron Mooy,Midfielder,,,,,,,,,,,0,,2,0,16,2,0,869,48.28,43,18,2,12,42,76,,10,13,9,4,,147,68,88,9,10,13,2,95,32,2,0,0,2,0,1,0.11,0,1,32,11,34,0
Abdelhamid Sabiri,Midfielder,,,,,,,,,,,0,,0,0,0,0,0,8,4.00,0,2,0,2,2,50,,0,1,0,0,,2,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Danny Williams,Midfielder,,,,,,,,,,,0,,1,0,2,0,0,20,6.67,0,3,1,2,0,0,,0,1,1,0,,6,2,7,1,0,2,0,0,0,0,0,0,0,0,0,0.00,0,0,1,0,0,0
Alex Pritchard,Midfielder,,,,,,,,,,,0,,1,0,11,1,0,637,30.33,20,21,2,16,25,60,,12,10,4,1,,82,82,113,15,9,25,1,56,18,1,6,0,0,1,0,0.05,0,0,35,10,29,0
Juninho Bacuna,Midfielder,,,,,,,,,,,0,,2,0,14,0,0,343,38.11,32,9,1,8,18,61,,1,9,2,0,,50,38,46,8,9,8,0,14,43,1,0,0,0,0,0,0.00,0,0,6,3,50,0
Isaac Mbenza,Midfielder,,,,,,,,,,,0,,1,0,5,0,1,144,8.47,7,17,2,11,8,88,,6,5,2,0,,36,15,25,2,1,6,1,26,15,0,2,0,0,0,0,0.00,0,0,12,3,25,0
Jason Puncheon,Midfielder,,,,,,,,,,,0,,1,0,12,0,0,194,21.56,12,9,3,4,8,63,,3,2,7,1,,23,18,34,4,5,4,1,9,22,0,1,0,0,0,0,0.00,0,0,5,0,0,0
Elias Kachunga,Forward,,,,,,,,,,,,,1,0,18,0,0,216,18.00,,12,0,10,18,,,3,3,5,2,,,,,,,,0,13,,,8,0,0,0,0,0.00,0,0,10,2,20,1
Laurent Depoitre,Forward,,,,,,,,,,,,,1,0,18,0,1,255,11.59,,22,1,16,4,,,8,1,5,5,,,,,,,,0,4,,,7,0,0,0,1,0.00,0,0,29,6,21,3
Steve Mounie,Forward,,,,,,,,,,,,,0,1,23,1,3,403,19.19,,21,2,14,6,,,7,3,14,10,,,,,,,,2,5,,,11,1,0,0,2,0.05,0,0,46,20,43,5
Adama Diakhaby,Forward,,,,,,,,,,,,,1,0,6,0,0,146,13.27,,11,0,9,6,,,2,1,1,0,,,,,,,,1,14,,,2,0,0,0,0,0.00,0,0,7,3,43,2
Karlan Grant,Forward,,,,,,,,,,,,,0,0,0,0,0,6,3.00,,2,0,2,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.00,0,0,1,1,100,0
