name,position,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Clean sheets,Goals conceded,Errors leading to goal,Own goals,Yellow cards,Red cards,Fouls,Goals,Assists,Passes,Passes per match,Accurate long balls,Appearances,Wins,Losses,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Big chances created,Crosses,Cross accuracy %,Through balls,Offsides,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed
David De Gea,Goalkeeper,93,0,8,7,10,1,104,218,6,35,1,0,1,0,0,0,0,666,25.62,215,26,15,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sergio Romero,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee Grant,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matej Kovar,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victor Lindelöf,Defender,,,,,,,,,5,25,0,1,1,0,15,1,0,1014,48.29,40,21,12,5,26,62,1,2,18,90,46,0,98,85,50,7,41,29,3,1,0,1,0,0,0,1,0,,,,,,,
Eric Bailly,Defender,,,,,,,,,1,12,0,0,0,1,5,0,0,270,27.00,19,10,7,2,12,58,0,0,12,33,9,0,34,30,13,4,10,4,0,0,0,0,0,0,0,0,0,,,,,,,
Phil Jones,Defender,,,,,,,,,3,10,0,0,0,0,6,0,1,534,44.50,32,12,9,1,11,64,1,0,15,39,17,0,56,50,23,1,31,12,0,1,0,0,0,0,0,0,0,,,,,,,
Marcos Rojo,Defender,,,,,,,,,0,3,1,1,1,0,2,0,0,82,41.00,4,2,1,0,2,50,0,1,1,3,2,0,5,5,3,1,1,0,0,1,0,0,0,0,0,0,0,,,,,,,
Chris Smalling,Defender,,,,,,,,,3,19,0,0,1,0,10,1,0,541,38.64,24,14,7,3,16,56,0,1,12,62,31,0,48,81,44,1,59,30,0,0,0,1,0,0,0,1,0,,,,,,,
Ashley Young,Defender,,,,,,,,,3,28,0,0,6,0,25,1,2,868,45.68,74,19,11,4,26,69,0,1,36,39,13,1,106,73,61,11,14,11,2,148,18,0,3,0,1,0,1,,,,,,,
Luke Shaw,Defender,,,,,,,,,5,27,0,0,8,0,28,1,1,1203,60.15,29,20,12,4,39,56,0,5,16,54,28,0,98,101,77,14,37,21,2,42,29,0,1,0,0,1,0,,,,,,,
Antonio Valencia,Defender,,,,,,,,,2,5,0,0,2,0,7,0,0,257,51.40,11,5,3,1,8,75,0,0,5,6,1,0,31,18,13,3,3,3,0,9,56,0,0,0,0,0,0,,,,,,,
Matteo Darmian,Defender,,,,,,,,,1,6,0,0,0,0,2,0,0,138,27.60,5,5,2,1,13,62,0,0,7,16,6,0,18,21,14,1,3,3,0,3,33,0,1,0,0,0,0,,,,,,,
Diogo Dalot,Defender,,,,,,,,,1,5,0,0,2,0,6,0,1,222,27.75,5,8,5,1,10,40,0,1,3,20,7,0,26,28,14,4,12,3,2,18,33,0,0,0,0,0,0,,,,,,,
Paul Pogba,Midfielder,,,,,,,,,,,0,,3,0,33,11,8,1424,61.91,115,23,14,3,28,61,,18,10,25,17,,141,157,167,45,38,36,6,22,14,10,2,1,9,1,1,0.48,5,0,79,42,53,5
Juan Mata,Midfielder,,,,,,,,,,,0,,2,0,6,2,2,548,32.24,42,17,9,4,6,33,,6,4,3,0,,61,20,36,8,1,1,4,53,15,3,7,0,0,2,0,0.12,0,1,16,5,31,0
Jesse Lingard,Midfielder,,,,,,,,,,,0,,2,0,20,4,2,596,28.38,8,21,12,4,21,57,,7,6,2,1,,50,59,86,12,4,20,4,15,13,1,6,0,4,0,0,0.19,1,0,25,11,44,1
Ander Herrera,Midfielder,,,,,,,,,,,0,,3,0,14,2,3,822,45.67,29,18,12,3,43,49,,4,36,21,10,,96,70,65,9,4,12,3,6,17,3,0,0,2,0,0,0.11,0,0,19,7,37,1
Nemanja Matic,Midfielder,,,,,,,,,,,0,,5,1,21,1,0,1574,68.43,97,23,14,4,40,60,,4,28,47,26,,171,117,107,15,47,26,0,9,22,3,1,0,1,0,0,0.04,0,0,10,3,30,1
Scott McTominay,Midfielder,,,,,,,,,,,0,,0,0,3,0,0,167,20.88,6,8,6,1,6,83,,0,2,4,3,,14,18,14,0,8,7,0,2,0,1,0,0,0,0,0,0.00,0,0,4,2,50,1
