name,position,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Clean sheets,Goals conceded,Errors leading to goal,Own goals,Yellow cards,Red cards,Fouls,Goals,Assists,Passes,Passes per match,Accurate long balls,Appearances,Wins,Losses,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Big chances created,Crosses,Cross accuracy %,Through balls,Offsides,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed
Heurelho Gomes,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pontus Dahlberg,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Foster,Goalkeeper,82,1,7,22,5,26,56,221,7,34,0,0,1,0,2,0,0,794,30.54,256,26,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daryl Janmaat,Defender,,,,,,,,,3,9,0,0,2,0,12,0,1,325,32.50,35,10,5,2,23,61,0,1,21,39,20,0,62,45,40,6,16,10,0,43,26,0,0,0,0,0,0,,,,,,,
Miguel Britos,Defender,,,,,,,,,0,0,0,0,0,0,1,0,0,4,4.00,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,
Sebastian Prödl,Defender,,,,,,,,,0,0,0,0,0,0,1,0,0,3,3.00,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Adrian Mariappa,Defender,,,,,,,,,5,16,0,0,1,0,14,0,0,580,32.22,42,18,6,6,31,68,2,2,17,75,35,0,60,78,69,1,42,41,0,0,0,0,0,0,0,0,0,,,,,,,
Craig Cathcart,Defender,,,,,,,,,5,34,0,2,1,0,13,3,0,881,35.24,72,25,10,9,39,62,1,3,30,136,61,0,114,116,87,1,70,61,0,3,0,0,0,3,0,0,0,,,,,,,
Kiko Femenía,Defender,,,,,,,,,3,24,0,0,1,0,9,0,1,626,31.30,26,20,7,8,38,58,0,1,26,54,25,0,85,65,40,7,10,7,2,31,26,0,1,0,0,0,0,,,,,,,
José Holebas,Defender,,,,,,,,,5,30,0,0,10,0,29,3,6,706,30.70,39,23,8,8,55,62,1,6,18,69,39,0,111,139,119,20,53,37,8,176,20,0,2,0,1,2,0,,,,,,,
Christian Kabasele,Defender,,,,,,,,,3,15,0,0,1,1,18,0,0,371,24.73,33,15,7,5,18,56,1,3,31,79,41,0,38,76,60,0,50,35,0,1,0,0,0,0,0,0,0,,,,,,,
Marc Navarro,Defender,,,,,,,,,0,2,0,0,0,0,1,0,0,22,22.00,1,1,0,1,4,50,0,0,0,2,0,0,4,4,4,0,0,2,0,5,20,0,0,0,0,0,0,,,,,,,
Adam Masina,Defender,,,,,,,,,2,4,0,0,2,0,7,0,1,197,32.83,16,6,3,2,7,71,0,1,5,12,8,0,19,31,15,5,13,2,1,16,25,0,0,0,0,0,0,,,,,,,
Tom Cleverley,Midfielder,,,,,,,,,,,0,,1,0,5,1,0,166,20.75,9,8,4,1,14,50,,0,4,7,4,,29,22,27,1,3,6,0,2,50,0,0,0,1,0,0,0.13,0,0,3,2,67,0
Nathaniel Chalobah,Midfielder,,,,,,,,,,,0,,2,0,4,0,0,79,11.29,1,7,2,3,1,100,,1,4,6,4,,13,7,13,0,3,2,1,0,0,0,0,0,0,0,0,0.00,0,0,2,1,50,0
Abdoulaye Doucouré,Midfielder,,,,,,,,,,,1,,3,0,23,3,5,1205,52.39,46,23,10,8,51,51,,12,19,36,13,,167,108,105,20,27,26,6,6,17,4,1,2,1,0,0,0.13,0,0,35,11,31,5
Will Hughes,Midfielder,,,,,,,,,,,0,,3,0,28,1,2,533,25.38,9,21,8,8,42,55,,6,17,15,4,,98,104,117,13,12,23,3,14,14,2,0,0,0,1,0,0.05,0,0,16,5,31,2
Etienne Capoue,Midfielder,,,,,,,,,,,0,,7,1,36,1,2,1111,50.50,77,22,9,8,59,63,,4,65,63,35,,167,165,133,19,55,40,1,4,0,1,0,0,1,0,0,0.05,0,0,13,3,23,1
Roberto Pereyra,Midfielder,,,,,,,,,,,1,,2,0,16,6,1,801,33.38,34,24,9,9,15,73,,9,19,10,5,,138,71,123,27,1,13,6,26,15,3,3,0,5,1,3,0.25,0,0,46,16,35,6
Ken Sema,Midfielder,,,,,,,,,,,0,,1,0,11,1,2,212,15.14,0,14,8,1,12,42,,3,8,4,0,,33,56,72,17,20,17,1,9,11,0,0,0,0,1,0,0.07,0,0,11,3,27,0
Domingos Quina,Midfielder,,,,,,,,,,,0,,0,0,6,1,0,199,33.17,13,6,1,2,7,71,,0,3,1,0,,26,18,28,5,2,7,0,2,50,0,0,0,1,0,0,0.17,0,0,5,1,20,0
Troy Deeney,Forward,,,,,,,,,,,,,3,0,34,5,2,577,25.09,,23,8,8,17,,,12,7,26,22,,,,,,,,6,11,,,11,2,3,0,0,0.22,1,0,45,20,44,7
Andre Gray,Forward,,,,,,,,,,,,,1,0,10,4,0,133,7.82,,17,7,7,2,,,5,2,2,1,,,,,,,,1,5,,,11,0,4,0,0,0.24,0,0,19,9,47,5
Gerard Deulofeu,Forward,,,,,,,,,,,,,2,0,8,3,3,443,23.32,,19,6,7,6,,,7,11,3,2,,,,,,,,7,29,,,18,0,3,0,1,0.16,0,0,30,7,23,6
Isaac Success,Forward,,,,,,,,,,,,,3,0,20,1,0,289,12.57,,23,8,9,12,,,6,2,9,8,,,,,,,,2,13,,,11,0,1,0,0,0.04,0,0,25,8,32,3
Adalberto Peñaranda,Forward,,,,,,,,,,,,,0,0,0,0,0,0,0.00,,0,0,0,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.00,0,0,0,0,0,0
