name,position,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Clean sheets,Goals conceded,Errors leading to goal,Own goals,Yellow cards,Red cards,Fouls,Goals,Assists,Passes,Passes per match,Accurate long balls,Appearances,Wins,Losses,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Big chances created,Crosses,Cross accuracy %,Through balls,Offsides,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed
John Ruddy,Goalkeeper,386,2,51,174,75,69,482,1091,24,190,12,0,3,1,1,0,0,2561,21.7,727,118,32,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Will Norris,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rui Patrício,Goalkeeper,77,0,6,6,7,2,78,200,6,33,1,0,0,0,0,0,0,532,20.46,171,26,11,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Doherty,Defender,,,,,,,,,6,31,0,1,2,0,20,3,4,989,38.04,41,26,11,9,45,60,0,4,41,66,49,0,108,189,143,14,119,72,5,49,24,2,1,1,1,1,0,,,,,,,
Ryan Bennett,Defender,,,,,,,,,6,31,0,0,7,0,29,1,0,992,39.68,45,25,11,8,45,56,0,1,36,88,53,0,98,144,109,2,91,65,1,1,0,1,1,1,0,0,0,,,,,,,
Conor Coady,Defender,,,,,,,,,,,0,,5,0,6,0,0,1152,44.31,183,26,11,9,24,63,,0,22,86,45,,172,59,35,3,25,14,1,0,0,3,0,0,0,0,0,0.00,0,0,0,0,0,0
Willy Boly,Defender,,,,,,,,,5,28,0,0,1,1,21,3,0,1139,47.46,56,24,9,9,57,61,1,3,50,105,70,0,151,158,83,9,84,40,2,0,0,2,2,2,0,0,0,,,,,,,
Rúben Vinagre,Defender,,,,,,,,,0,8,0,0,1,0,10,0,0,207,17.25,7,12,5,4,12,58,0,0,10,12,6,0,40,34,36,9,8,13,0,37,14,1,0,0,0,0,0,,,,,,,
Max Kilman,Defender,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Jonny,Defender,,,,,,,,,5,27,1,0,5,0,18,1,0,717,32.59,26,22,9,7,52,56,0,6,46,43,17,0,115,120,110,17,26,34,0,29,21,1,4,0,1,0,1,,,,,,,
Cameron John,Defender,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Rúben Neves,Midfielder,,,,,,,,,,,0,,6,0,28,3,2,1297,54.04,157,24,10,9,55,44,,23,54,23,9,,202,100,110,9,24,23,3,24,21,10,0,0,3,0,0,0.13,2,1,56,11,20,0
Morgan Gibbs-White,Midfielder,,,,,,,,,,,0,,1,0,6,0,1,215,11.94,17,18,7,7,3,33,,1,1,0,0,,29,24,39,9,7,15,2,9,22,4,1,0,0,0,1,0.00,0,0,6,1,17,1
Romain Saïss,Midfielder,,,,,,,,,,,0,,5,0,19,2,0,485,37.31,45,13,7,4,23,74,,1,16,35,16,,62,60,55,3,31,20,0,8,25,0,0,1,1,0,0,0.15,0,0,10,5,50,0
Diogo Jota,Midfielder,,,,,,,,,,,0,,6,0,24,5,2,450,21.43,7,21,10,6,15,73,,5,8,9,8,,92,89,159,22,23,50,6,20,20,2,2,0,2,3,0,0.24,0,0,31,15,48,4
João Moutinho,Midfielder,,,,,,,,,,,0,,2,0,36,1,7,1232,47.38,86,26,11,9,86,44,,3,32,30,8,,189,131,153,9,15,31,6,118,30,4,0,0,0,1,1,0.04,0,0,14,2,14,0
Leander Dendoncker,Midfielder,,,,,,,,,,,0,,0,0,6,1,0,180,25.71,5,7,5,1,19,42,,1,4,17,11,,30,36,30,2,12,9,0,1,100,0,0,0,0,1,0,0.14,0,0,6,4,67,2
Ryan John Giles,Midfielder,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Elliot Watt,Midfielder,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Pote,Midfielder,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ivan Cavaleiro,Forward,,,,,,,,,,,,,1,0,9,3,1,205,12.81,,16,6,7,4,,,2,4,2,1,,,,,,,,2,46,,,4,0,3,0,1,0.19,0,0,11,4,36,0
Hélder Costa,Forward,,,,,,,,,,,0,,3,0,18,1,2,430,19.55,9,22,9,7,18,78,,9,9,5,3,,74,74,141,24,10,33,3,48,6,3,6,0,0,1,0,0.05,0,0,25,7,28,3
Raúl Jiménez,Forward,,,,,,,,,,,,,2,0,29,9,5,725,27.88,,26,11,9,22,,,16,19,26,19,,,,,,,,8,20,,,21,2,6,1,3,0.35,1,0,81,28,35,8
Adama Traoré,Forward,,,,,,,,,,,,,1,0,13,1,1,177,8.43,,21,7,9,11,,,5,6,3,2,,,,,,,,2,23,,,5,0,1,0,0,0.05,0,0,16,7,44,1
Benny Ashley-Seal,Forward,,,,,,,,,,,,,0,0,0,0,0,0,0.00,,0,0,0,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.00,0,0,0,0,0,0
Joe Mason,Forward,,,,,,,,,,,,,0,0,0,0,0,0,0.00,,0,0,0,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.00,0,0,0,0,0,0
Niall Ennis,Forward,,,,,,,,,,,,,0,0,0,0,0,0,0.00,,0,0,0,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.00,0,0,0,0,0,0
