name,position,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Clean sheets,Goals conceded,Errors leading to goal,Own goals,Yellow cards,Red cards,Fouls,Goals,Assists,Passes,Passes per match,Accurate long balls,Appearances,Wins,Losses,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Big chances created,Crosses,Cross accuracy %,Through balls,Offsides,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed
Petr Cech,Goalkeeper,28,0,2,6,2,3,46,53,1,9,0,0,0,0,0,0,0,224,32.00,38,7,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernd Leno,Goalkeeper,63,0,14,8,3,9,126,141,2,28,3,0,0,0,0,0,0,614,30.70,103,20,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dejan Iliev,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Héctor Bellerín,Defender,,,,,,,,,3,21,0,1,3,0,16,0,5,785,41.32,25,19,11,4,15,80,0,8,20,33,20,0,79,57,69,15,21,24,4,39,23,6,1,0,0,0,0,,,,,,,
Laurent Koscielny,Defender,,,,,,,,,1,11,0,0,1,0,5,2,0,467,58.38,28,8,3,4,10,60,0,0,15,43,26,0,39,32,20,0,14,12,0,0,0,0,0,1,0,0,0,,,,,,,
Rob Holding,Defender,,,,,,,,,1,10,0,0,1,0,6,0,0,614,61.40,34,10,6,0,11,64,0,0,12,37,21,0,54,37,25,3,21,9,0,1,0,0,0,0,0,0,0,,,,,,,
Nacho Monreal,Defender,,,,,,,,,2,16,0,0,2,0,13,1,3,609,46.85,12,13,10,3,18,50,0,1,14,33,21,1,46,53,40,3,19,17,3,19,11,0,1,0,0,1,0,,,,,,,
Shkodran Mustafi,Defender,,,,,,,,,2,30,0,0,6,0,28,2,0,1213,55.14,67,22,13,5,42,71,0,1,43,116,75,0,79,124,77,2,76,42,0,6,17,1,3,2,0,0,0,,,,,,,
Konstantinos Mavropanos,Defender,,,,,,,,,0,0,0,0,0,0,0,0,0,8,8.00,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Sead Kolasinac,Defender,,,,,,,,,2,21,1,1,3,0,14,0,4,613,40.87,10,15,8,3,27,70,0,1,15,21,12,0,81,50,62,7,11,21,7,28,32,1,6,0,0,0,0,,,,,,,
