name,position,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Clean sheets,Goals conceded,Errors leading to goal,Own goals,Yellow cards,Red cards,Fouls,Goals,Assists,Passes,Passes per match,Accurate long balls,Appearances,Wins,Losses,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Big chances created,Crosses,Cross accuracy %,Through balls,Offsides,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed
Tom Heaton,Goalkeeper,27,0,3,3,3,4,13,55,2,6,0,0,1,0,0,0,0,212,30.29,68,7,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anders Lindegaard,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Pope,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Legzdins,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Hart,Goalkeeper,77,1,5,3,6,5,50,181,4,41,0,0,0,0,0,0,0,565,29.74,205,19,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthew Lowton,Defender,,,,,,,,,3,32,1,0,5,0,18,0,0,489,32.60,49,15,3,9,38,68,0,1,20,52,22,1,95,72,67,6,18,11,0,46,11,1,0,0,0,0,0,,,,,,,
Charlie Taylor,Defender,,,,,,,,,5,43,0,0,2,0,15,0,0,792,30.46,56,26,7,13,38,58,1,1,26,57,30,1,138,138,98,23,47,45,2,79,18,0,1,0,0,0,0,,,,,,,
James Tarkowski,Defender,,,,,,,,,5,42,1,0,5,0,21,3,0,753,32.74,77,23,7,11,42,43,0,0,27,156,95,3,93,170,93,1,109,50,0,3,33,0,4,1,0,1,1,,,,,,,
Ben Mee,Defender,,,,,,,,,6,47,0,1,6,0,24,0,2,1039,39.96,128,26,7,13,36,36,0,1,33,159,97,1,166,152,104,4,98,75,3,2,50,0,0,0,0,0,1,,,,,,,
Stephen Ward,Defender,,,,,,,,,1,6,0,0,1,0,2,0,0,113,37.67,2,3,0,2,4,50,0,0,4,12,7,0,15,13,6,2,4,1,0,8,0,0,0,0,0,0,0,,,,,,,
