name,position,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Clean sheets,Goals conceded,Errors leading to goal,Own goals,Yellow cards,Red cards,Fouls,Goals,Assists,Passes,Passes per match,Accurate long balls,Appearances,Wins,Losses,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Big chances created,Crosses,Cross accuracy %,Through balls,Offsides,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed
Neil Etheridge,Goalkeeper,95,3,8,8,5,13,42,200,7,47,0,0,2,0,0,0,0,765,29.42,243,26,7,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Smithies,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Murphy,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee Peltier,Defender,,,,,,,,,2,12,0,0,1,0,6,0,0,157,15.70,9,10,4,5,18,61,0,0,6,21,12,1,30,35,26,1,12,17,0,5,60,0,0,0,0,0,0,,,,,,,
Joe Bennett,Defender,,,,,,,,,6,28,0,0,2,0,11,0,1,429,23.83,26,18,4,10,29,52,0,2,35,56,20,0,80,86,43,17,17,12,0,31,29,1,0,0,0,0,0,,,,,,,
Sean Morrison,Defender,,,,,,,,,6,41,1,0,3,0,21,0,3,495,22.50,22,22,5,13,10,50,0,2,35,133,61,2,91,166,107,4,139,77,3,3,0,0,6,0,0,0,1,,,,,,,
Bruno Ecuele Manga,Defender,,,,,,,,,7,47,1,0,0,0,9,0,1,686,26.38,55,26,7,15,50,50,0,2,53,110,48,0,174,116,85,7,53,43,0,20,10,2,1,0,0,0,0,,,,,,,
Jazz Richards,Defender,,,,,,,,,0,4,0,0,0,0,0,0,0,17,5.67,0,3,1,2,0,0,0,0,2,3,1,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,
Sol Bamba,Defender,,,,,,,,,7,42,2,0,6,0,32,3,1,493,19.72,41,25,7,14,67,57,0,2,70,164,76,2,156,173,107,12,86,43,0,1,0,1,2,0,3,0,1,,,,,,,
Matthew Connolly,Defender,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
