name,position,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Clean sheets,Goals conceded,Errors leading to goal,Own goals,Yellow cards,Red cards,Fouls,Goals,Assists,Passes,Passes per match,Accurate long balls,Appearances,Wins,Losses,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Big chances created,Crosses,Cross accuracy %,Through balls,Offsides,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed
Willy Caballero,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Green,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcin Bulka,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kepa Arrizabalaga,Goalkeeper,55,0,7,8,3,6,101,188,11,29,0,0,1,0,0,0,0,748,28.77,134,26,15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamie Cumming,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonio Rüdiger,Defender,,,,,,,,,9,29,0,0,4,0,21,1,0,2050,82.00,107,25,14,6,29,45,0,5,24,75,48,1,160,117,101,4,74,67,2,1,0,8,1,1,0,0,1,,,,,,,
Marcos Alonso,Defender,,,,,,,,,10,24,0,0,5,0,19,1,3,1559,62.36,33,25,15,5,53,57,0,11,28,63,33,0,174,142,117,15,44,45,2,83,11,2,2,0,0,1,6,,,,,,,
Davide Zappacosta,Defender,,,,,,,,,0,0,0,0,0,0,0,0,0,12,6.00,1,2,2,0,0,0,0,0,1,1,0,0,0,1,3,0,1,2,0,0,0,0,0,0,0,0,0,,,,,,,
Gary Cahill,Defender,,,,,,,,,0,0,0,0,0,0,0,0,0,18,18.00,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,
Andreas Christensen,Defender,,,,,,,,,1,2,0,0,1,0,1,0,0,150,75.00,2,2,1,1,3,67,0,0,1,5,2,0,17,7,5,0,3,3,0,0,0,0,0,0,0,0,0,,,,,,,
César Azpilicueta,Defender,,,,,,,,,11,29,0,0,1,0,23,0,2,1829,70.35,29,26,15,6,70,59,0,2,28,42,27,0,145,128,89,8,41,33,4,90,20,2,2,0,0,0,0,,,,,,,
David Luiz,Defender,,,,,,,,,11,27,1,0,2,0,23,2,2,1956,78.24,172,25,15,5,29,76,0,7,24,108,62,1,140,117,84,10,52,50,9,2,0,37,0,2,0,0,1,,,,,,,
Emerson,Defender,,,,,,,,,0,5,0,0,0,0,1,0,0,59,14.75,2,4,2,2,3,67,0,0,1,2,0,0,6,8,2,4,0,1,0,5,0,1,0,0,0,0,0,,,,,,,
Ethan Ampadu,Defender,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Daniel Drinkwater,Midfielder,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
N'Golo Kanté,Midfielder,,,,,,,,,,,0,,3,0,27,3,4,1548,59.54,24,26,15,6,47,51,,9,36,21,12,,178,100,151,22,21,29,4,17,29,4,4,0,1,2,0,0.12,0,0,20,4,20,3
Ross Barkley,Midfielder,,,,,,,,,,,1,,1,0,13,3,4,733,34.90,33,21,13,3,13,69,,12,7,9,5,,57,57,57,12,12,7,3,6,17,4,0,0,2,1,1,0.14,0,0,30,6,20,0
Ruben Loftus-Cheek,Midfielder,,,,,,,,,,,0,,0,0,5,3,0,196,16.33,4,12,7,4,8,100,,4,4,2,2,,19,43,38,14,10,8,1,2,0,1,1,0,2,1,0,0.25,0,0,9,3,33,0
Jorginho,Midfielder,,,,,,,,,,,0,,5,0,21,1,0,2279,91.16,57,25,15,5,47,49,,3,33,22,14,,182,85,96,11,7,16,2,2,50,19,0,0,1,0,0,0.04,1,0,12,4,33,0
Mateo Kovacic,Midfielder,,,,,,,,,,,0,,1,0,12,0,2,1087,47.26,17,23,13,6,29,66,,12,5,14,7,,87,86,74,28,5,6,1,3,0,6,0,0,0,0,1,0.00,0,0,21,4,19,2
George McEachran,Midfielder,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Eden Hazard,Forward,,,,,,,,,,,,,2,0,10,12,10,1273,50.92,,25,14,6,9,,,27,9,4,3,,,,,,,,12,75,,,7,0,8,4,1,0.48,4,0,67,30,45,5
Pedro,Forward,,,,,,,,,,,,,1,0,12,7,1,765,36.43,,21,13,6,18,,,6,16,6,1,,,,,,,,5,41,,,5,0,4,3,0,0.33,0,0,40,20,50,2
Olivier Giroud,Forward,,,,,,,,,,,,,1,0,12,1,4,214,11.26,,19,11,5,3,,,4,3,6,6,,,,,,,,3,1,,,6,1,0,0,1,0.05,0,0,22,7,32,1
Willian,Forward,,,,,,,,,,,,,1,0,10,3,4,967,40.29,,24,14,5,29,,,15,12,9,5,,,,,,,,8,133,,,11,0,3,0,5,0.13,0,0,45,17,38,6
Callum Hudson-Odoi,Forward,,,,,,,,,,,,,0,0,0,0,0,44,11.00,,4,3,1,0,,,0,0,0,0,,,,,,,,0,2,,,1,0,0,0,0,0.00,0,0,1,0,0,0
Gonzalo Higuaín,Forward,,,,,,,,,,,,,0,0,1,2,0,84,28.00,,3,1,2,1,,,6,0,2,1,,,,,,,,1,0,,,3,0,2,0,0,0.67,0,0,10,3,30,0
