name,position,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Clean sheets,Goals conceded,Errors leading to goal,Own goals,Yellow cards,Red cards,Fouls,Goals,Assists,Passes,Passes per match,Accurate long balls,Appearances,Wins,Losses,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Big chances created,Crosses,Cross accuracy %,Through balls,Offsides,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed
Julian Speroni,Goalkeeper,5,0,0,1,2,0,3,13,0,4,1,0,0,0,0,0,0,32,32.00,10,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wayne Hennessey,Goalkeeper,41,1,9,11,6,5,66,124,5,25,1,0,0,0,0,0,0,413,24.29,110,17,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vicente Guaita,Goalkeeper,19,0,4,5,0,0,36,80,4,5,0,0,2,0,1,0,0,226,25.11,47,9,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Tupper,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucas Perri,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick van Aanholt,Defender,,,,,,,,,8,32,0,0,3,0,10,1,2,1222,47.00,51,26,7,13,34,53,0,8,29,60,24,0,161,71,59,19,8,9,6,32,19,4,5,0,1,0,0,,,,,,,
James Tomkins,Defender,,,,,,,,,8,28,1,0,5,0,12,1,1,815,37.05,113,22,6,11,27,63,1,3,24,139,69,0,82,99,92,2,65,67,2,1,0,0,1,1,0,0,0,,,,,,,
Scott Dann,Defender,,,,,,,,,0,0,0,0,0,0,0,0,0,5,5.00,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,
Mamadou Sakho,Defender,,,,,,,,,9,34,0,0,2,0,5,0,0,1282,49.31,59,26,7,13,25,64,0,0,40,126,78,0,189,95,55,9,50,36,0,0,0,0,0,0,0,0,0,,,,,,,
Jeffrey Schlupp,Defender,,,,,,,,,1,16,0,0,1,0,15,4,0,395,17.95,7,22,6,13,25,40,0,8,12,10,7,0,53,69,84,8,31,39,0,11,9,2,0,1,1,2,0,,,,,,,
