name,position,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Clean sheets,Goals conceded,Errors leading to goal,Own goals,Yellow cards,Red cards,Fouls,Goals,Assists,Passes,Passes per match,Accurate long balls,Appearances,Wins,Losses,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Big chances created,Crosses,Cross accuracy %,Through balls,Offsides,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed
Kasper Schmeichel,Goalkeeper,62,0,11,6,5,5,89,213,7,34,0,0,1,0,0,0,0,740,28.46,250,26,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eldin Jakupovic,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danny Ward,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danny Simpson,Defender,,,,,,,,,1,4,0,0,0,0,2,0,0,104,20.80,7,5,3,1,11,27,0,0,6,14,7,0,13,19,11,0,8,6,0,1,0,0,0,0,0,0,0,,,,,,,
Ben Chilwell,Defender,,,,,,,,,7,33,0,0,3,0,20,0,2,1102,44.08,24,25,9,11,32,56,0,3,26,88,56,1,133,186,156,39,83,54,2,104,15,2,1,0,0,0,0,,,,,,,
Wes Morgan,Defender,,,,,,,,,5,21,0,0,1,2,16,1,0,610,35.88,27,17,6,8,23,61,1,2,22,84,51,0,56,92,51,2,65,33,0,0,0,0,3,1,0,0,0,,,,,,,
Harry Maguire,Defender,,,,,,,,,4,28,0,0,5,0,14,3,0,1062,50.57,139,21,8,11,22,59,2,1,32,105,54,0,143,125,46,9,81,21,1,0,0,1,3,1,2,0,1,,,,,,,
Christian Fuchs,Defender,,,,,,,,,0,1,0,0,0,0,1,0,0,56,56.00,3,1,0,1,2,50,0,0,1,2,1,0,10,2,1,0,0,0,0,9,22,0,0,0,0,0,0,,,,,,,
Ricardo Pereira,Defender,,,,,,,,,7,31,0,0,5,0,29,2,4,873,37.96,18,23,8,12,89,54,0,7,41,70,36,0,141,210,186,39,48,55,6,78,15,3,1,0,1,1,1,,,,,,,
Jonny Evans,Defender,,,,,,,,,2,14,0,0,2,0,14,0,0,468,33.43,31,14,5,6,10,50,0,3,23,77,43,0,68,51,41,0,33,21,0,0,0,0,0,0,0,0,0,,,,,,,
