name,position,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Clean sheets,Goals conceded,Errors leading to goal,Own goals,Yellow cards,Red cards,Fouls,Goals,Assists,Passes,Passes per match,Accurate long balls,Appearances,Wins,Losses,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Big chances created,Crosses,Cross accuracy %,Through balls,Offsides,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed
Simon Mignolet,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alisson,Goalkeeper,53,0,12,6,5,15,134,151,14,15,2,0,0,0,0,0,0,731,28.12,132,26,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caoimhin Kelleher,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgil van Dijk,Defender,,,,,,,,,13,15,0,0,1,0,11,1,1,2115,81.35,141,26,20,1,23,74,0,7,27,133,70,0,127,152,48,8,110,37,2,0,0,0,0,0,0,1,3,,,,,,,
Dejan Lovren,Defender,,,,,,,,,5,5,0,0,1,0,3,1,0,643,71.44,26,9,7,1,12,58,0,1,6,44,24,0,36,60,31,0,41,20,0,3,67,1,0,0,1,0,0,,,,,,,
Joseph Gomez,Defender,,,,,,,,,7,4,0,0,2,0,12,0,0,771,59.31,31,13,10,0,17,65,0,1,14,39,17,0,71,54,40,4,24,19,0,7,29,0,0,0,0,0,0,,,,,,,
Alberto Moreno,Defender,,,,,,,,,0,2,0,0,0,0,1,0,0,105,52.50,2,2,2,0,3,67,0,0,2,0,0,0,5,6,6,2,0,1,0,3,33,0,0,0,0,0,0,,,,,,,
Andrew Robertson,Defender,,,,,,,,,13,13,0,0,2,0,11,0,6,1640,68.33,51,24,18,1,61,62,0,2,21,36,16,0,157,104,77,18,13,15,9,80,13,1,1,0,0,0,1,,,,,,,
Joel Matip,Defender,,,,,,,,,3,7,0,0,3,0,7,1,0,642,53.50,18,12,9,0,18,78,0,0,12,32,14,0,42,59,22,2,33,10,1,0,0,2,0,1,0,0,0,,,,,,,
Trent Alexander-Arnold,Defender,,,,,,,,,8,8,0,0,3,0,12,1,3,983,54.61,66,18,15,1,30,67,0,6,22,36,17,0,94,50,73,9,6,22,4,109,26,2,3,0,1,0,2,,,,,,,
Ki-Jana Hoever,Defender,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Georginio Wijnaldum,Midfielder,,,,,,,,,,,0,,2,0,14,2,0,1271,55.26,47,23,18,1,26,62,,4,11,16,7,,129,82,79,16,16,21,1,10,20,4,2,1,1,0,0,0.09,0,0,21,8,38,2
James Milner,Midfielder,,,,,,,,,,,0,,2,1,23,3,4,1095,52.14,55,21,16,1,34,56,,8,18,15,8,,109,80,71,10,18,20,6,94,31,5,0,0,3,0,0,0.14,1,0,16,5,31,0
Jordan Henderson,Midfielder,,,,,,,,,,,1,,31,2,255,25,38,15439,51.64,1025,299,147,78,591,72,,85,392,317,126,,1634,1028,1096,114,206,223,38,716,24,119,28,0,20,5,6,0.08,1,2,314,89,28,15
Adam Lallana,Midfielder,,,,,,,,,,,0,,1,0,3,0,0,192,21.33,4,9,7,0,8,38,,1,3,1,1,,17,22,21,5,4,6,0,7,29,1,0,0,0,0,0,0.00,0,0,4,2,50,0
Alex Oxlade-Chamberlain,Midfielder,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
