name,position,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Clean sheets,Goals conceded,Errors leading to goal,Own goals,Yellow cards,Red cards,Fouls,Goals,Assists,Passes,Passes per match,Accurate long balls,Appearances,Wins,Losses,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Big chances created,Crosses,Cross accuracy %,Through balls,Offsides,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed
Claudio Bravo,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ederson,Goalkeeper,46,0,5,15,4,14,128,139,12,20,0,0,2,0,2,0,1,702,26.00,94,27,21,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Grimshaw,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arijanet Muric,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Walker,Defender,,,,,,,,,11,14,0,0,1,0,8,1,1,1632,70.96,76,23,18,3,31,71,0,6,28,31,15,1,117,87,57,13,34,21,0,39,8,3,4,0,1,0,0,,,,,,,
Danilo,Defender,,,,,,,,,2,7,0,0,1,0,9,1,0,637,91.00,16,7,5,2,13,69,0,5,11,18,10,0,46,42,32,7,16,13,0,10,20,0,0,0,1,0,0,,,,,,,
Vincent Kompany,Defender,,,,,,,,,1,4,0,0,4,0,9,0,0,604,67.11,29,9,8,0,9,89,0,1,7,30,20,0,32,27,14,1,17,5,0,0,0,0,1,0,0,0,0,,,,,,,
John Stones,Defender,,,,,,,,,7,15,0,0,1,0,6,0,0,1491,82.83,91,18,13,4,15,67,0,0,12,54,37,1,99,75,43,5,50,28,0,2,50,0,1,0,0,0,0,,,,,,,
Aymeric Laporte,Defender,,,,,,,,,12,19,0,0,3,0,19,2,1,2313,85.67,130,27,21,4,30,43,0,3,30,69,47,0,144,102,73,2,58,42,1,6,0,0,2,2,0,0,0,,,,,,,
Benjamin Mendy,Defender,,,,,,,,,4,5,0,0,1,0,10,0,5,565,62.78,16,9,7,0,13,77,0,2,9,14,9,0,59,30,54,7,8,22,4,47,23,2,0,0,0,0,0,,,,,,,
Nicolás Otamendi,Defender,,,,,,,,,6,6,0,0,0,0,3,0,0,886,73.83,33,12,11,1,16,69,0,1,22,45,19,0,42,52,22,1,32,18,0,1,0,0,0,0,0,0,0,,,,,,,
Eliaquim Mangala,Defender,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Philippe Sandler,Defender,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Eric Garcia,Defender,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Ilkay Gündogan,Midfielder,,,,,,,,,,,0,,2,0,9,5,2,982,46.76,36,21,16,4,13,69,,11,14,11,6,,74,45,54,9,11,11,5,47,36,9,0,1,3,1,1,0.24,0,0,28,9,32,1
Kevin De Bruyne,Midfielder,,,,,,,,,,,0,,2,0,9,1,0,409,34.08,29,12,9,3,11,82,,3,1,1,0,,41,37,37,12,4,7,4,40,25,6,0,0,1,0,0,0.08,0,0,14,8,57,0
Fabian Delph,Midfielder,,,,,,,,,,,0,,1,1,6,0,1,693,63.00,25,11,8,3,23,61,,0,13,17,5,,54,47,33,8,9,14,1,8,38,0,0,0,0,0,0,0.00,0,0,4,3,75,0
Bernardo Silva,Midfielder,,,,,,,,,,,0,,3,0,26,5,6,1263,48.58,62,26,20,4,35,74,,15,15,20,5,,123,86,138,28,5,23,7,52,17,6,2,1,0,4,0,0.19,0,0,36,13,36,5
