name,position,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Clean sheets,Goals conceded,Errors leading to goal,Own goals,Yellow cards,Red cards,Fouls,Goals,Assists,Passes,Passes per match,Accurate long balls,Appearances,Wins,Losses,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Big chances created,Crosses,Cross accuracy %,Through balls,Offsides,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed
Robert Elliot,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin Dubravka,Goalkeeper,77,0,10,24,6,12,94,224,7,34,2,0,0,0,0,0,0,741,28.50,208,26,6,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karl Darlow,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freddy Woodman,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Harker,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ciaran Clark,Defender,,,,,,,,,2,15,0,0,1,0,6,3,0,304,27.64,17,11,3,7,20,80,0,2,12,57,33,0,46,68,34,0,43,23,0,3,0,0,0,3,0,0,0,,,,,,,
Paul Dummett,Defender,,,,,,,,,5,17,0,0,0,0,7,0,0,433,28.87,27,15,3,7,21,67,0,2,20,73,47,0,51,56,31,1,29,13,0,29,24,0,1,0,0,0,0,,,,,,,
Jamaal Lascelles,Defender,,,,,,,,,6,25,1,0,3,0,12,0,1,770,35.00,52,22,4,11,25,68,1,1,30,150,81,0,116,104,50,1,70,33,2,0,0,2,1,0,0,0,0,,,,,,,
Javier Manquillo,Defender,,,,,,,,,1,8,0,0,1,0,7,0,1,184,15.33,10,12,3,5,14,57,0,0,12,29,13,0,33,33,34,2,11,13,1,15,13,1,0,0,0,0,0,,,,,,,
Florian Lejeune,Defender,,,,,,,,,1,5,0,0,0,0,2,0,0,217,43.40,28,5,2,2,10,50,0,0,8,24,13,1,40,26,19,1,14,6,0,1,0,0,0,0,0,0,0,,,,,,,
DeAndre Yedlin,Defender,,,,,,,,,4,33,0,1,5,1,35,1,1,585,24.38,24,24,5,13,48,63,0,0,27,62,28,0,91,91,105,7,24,37,1,61,25,0,3,0,1,0,0,,,,,,,
Fabian Schär,Defender,,,,,,,,,3,13,0,0,8,0,20,2,1,487,34.79,78,14,6,4,39,67,0,0,43,91,57,1,66,98,84,5,46,39,0,8,13,0,1,0,1,1,0,,,,,,,
Federico Fernández,Defender,,,,,,,,,3,21,0,0,2,0,11,0,1,489,32.60,62,15,3,8,14,71,0,1,24,93,51,0,66,56,45,0,36,26,1,4,50,0,1,0,0,0,0,,,,,,,
Antonio Barreca,Defender,,,,,,,,,0,0,0,0,0,0,0,0,0,2,2.00,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,
Jonjo Shelvey,Midfielder,,,,,,,,,,,0,,0,0,12,0,1,487,44.27,68,11,1,6,20,50,,3,6,10,1,,72,42,35,8,10,10,2,37,32,4,0,0,0,0,0,0.00,0,0,18,7,39,0
Mohamed Diamé,Midfielder,,,,,,,,,,,0,,3,0,31,0,0,604,27.45,34,22,4,11,64,61,,7,23,29,16,,118,126,138,15,33,37,0,10,10,3,0,0,0,0,1,0.00,0,0,16,3,19,2
