name,position,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Clean sheets,Goals conceded,Errors leading to goal,Own goals,Yellow cards,Red cards,Fouls,Goals,Assists,Passes,Passes per match,Accurate long balls,Appearances,Wins,Losses,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Big chances created,Crosses,Cross accuracy %,Through balls,Offsides,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed
Alex McCarthy,Goalkeeper,78,0,17,15,10,6,82,189,4,44,1,0,1,0,0,0,0,585,23.40,140,25,5,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fraser Forster,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angus Gunn,Goalkeeper,6,0,0,0,1,2,0,7,1,0,0,0,0,0,0,0,0,24,24.00,9,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harry Lewis,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maya Yoshida,Defender,,,,,,,,,1,17,1,0,0,0,1,0,0,329,36.56,26,9,2,4,8,63,0,2,30,48,23,0,48,22,23,0,13,18,1,0,0,0,2,0,0,0,0,,,,,,,
Jack Stephens,Defender,,,,,,,,,3,23,0,0,3,0,8,1,0,583,36.44,44,16,3,6,19,58,0,0,23,69,41,0,89,70,52,4,43,34,0,2,0,0,0,0,1,0,0,,,,,,,
Ryan Bertrand,Defender,,,,,,,,,4,23,0,0,5,0,16,1,0,460,35.38,8,13,1,7,29,59,0,4,15,23,8,0,46,64,57,2,22,24,2,46,28,1,0,0,0,1,0,,,,,,,
Jan Bednarek,Defender,,,,,,,,,1,16,0,0,5,0,9,0,1,402,30.92,17,13,4,6,22,64,1,0,32,86,42,2,57,71,54,0,46,33,0,0,0,1,0,0,0,0,0,,,,,,,
Matt Targett,Defender,,,,,,,,,0,21,0,0,2,0,4,0,3,381,29.31,19,13,5,6,24,71,0,4,21,28,10,0,46,44,42,0,14,20,4,68,31,2,1,0,0,0,1,,,,,,,
Yan Valery,Defender,,,,,,,,,1,11,0,0,2,1,14,0,0,182,15.17,3,12,4,4,22,91,0,1,10,30,11,0,40,58,73,12,20,34,0,19,11,0,1,0,0,0,0,,,,,,,
Jannik Vestergaard,Defender,,,,,,,,,3,22,1,0,2,0,14,0,0,691,40.65,40,17,5,6,35,63,0,2,24,121,71,0,90,115,76,7,64,47,1,1,0,3,0,0,0,0,0,,,,,,,
Kayne Ramsay,Defender,,,,,,,,,0,3,0,0,0,0,0,0,0,14,14.00,0,1,0,1,0,0,0,0,0,7,3,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,
Alfie Jones,Defender,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Oriol Romeu,Midfielder,,,,,,,,,,,0,,6,0,28,0,0,662,34.84,31,19,5,9,51,55,,4,30,26,9,,115,89,89,7,22,25,2,2,0,0,0,0,0,0,0,0.00,0,0,7,3,43,1
James Ward-Prowse,Midfielder,,,,,,,,,,,0,,2,0,10,3,0,386,27.57,9,14,2,6,20,60,,4,12,31,18,,60,41,53,2,11,18,1,66,38,0,1,0,3,0,0,0.21,1,0,14,8,57,1
Mario Lemina,Midfielder,,,,,,,,,,,0,,5,0,27,0,1,752,41.78,40,18,2,10,46,63,,6,39,26,14,,109,115,95,20,27,15,1,8,38,3,1,0,0,0,1,0.00,0,0,22,4,18,0
