name,position,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Clean sheets,Goals conceded,Errors leading to goal,Own goals,Yellow cards,Red cards,Fouls,Goals,Assists,Passes,Passes per match,Accurate long balls,Appearances,Wins,Losses,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Big chances created,Crosses,Cross accuracy %,Through balls,Offsides,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed
Hugo Lloris,Goalkeeper,72,1,13,9,6,15,101,167,9,20,0,0,0,0,0,0,0,721,32.77,164,22,18,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michel Vorm,Goalkeeper,9,0,1,1,1,1,17,10,0,4,0,0,0,0,0,0,0,44,22.00,5,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paulo Gazzaniga,Goalkeeper,8,0,2,2,0,1,6,13,1,1,0,0,0,0,0,0,0,57,28.50,11,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfie Whiteman,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kieran Trippier,Defender,,,,,,,,,6,17,1,0,2,0,16,1,3,1176,56.00,54,21,16,5,47,51,0,3,18,37,22,1,126,93,75,4,26,24,7,151,29,1,5,0,1,0,1,,,,,,,
Danny Rose,Defender,,,,,,,,,4,7,0,0,4,0,18,0,2,576,38.40,14,15,12,3,27,56,0,3,14,14,9,0,59,88,66,20,16,13,2,49,24,0,1,0,0,0,1,,,,,,,
Toby Alderweireld,Defender,,,,,,,,,10,20,0,0,2,0,9,0,0,1684,70.17,180,24,19,5,19,68,1,1,17,130,61,1,133,59,51,0,39,33,0,4,25,3,1,0,0,0,0,,,,,,,
Jan Vertonghen,Defender,,,,,,,,,3,15,0,0,1,1,8,1,0,932,66.57,38,14,10,4,24,67,0,2,24,52,27,0,92,61,31,6,25,14,0,23,22,0,0,1,0,0,0,,,,,,,
Davinson Sánchez,Defender,,,,,,,,,5,13,0,0,2,0,11,1,1,955,63.67,42,15,12,3,18,61,0,1,15,70,38,0,70,66,62,0,42,42,1,0,0,0,0,1,0,0,0,,,,,,,
Juan Foyth,Defender,,,,,,,,,2,8,1,0,1,0,10,1,0,344,57.33,16,6,5,1,17,53,0,0,9,39,20,0,28,38,27,5,10,11,0,0,0,0,0,1,0,0,0,,,,,,,
Serge Aurier,Defender,,,,,,,,,0,7,0,0,1,0,16,0,2,223,31.86,5,7,6,1,17,59,0,0,7,16,11,0,28,31,46,4,9,15,2,18,33,0,1,0,0,0,0,,,,,,,
Ben Davies,Defender,,,,,,,,,4,18,0,0,2,0,13,0,0,733,43.12,20,17,12,5,37,49,0,3,16,44,28,0,64,79,70,1,34,28,3,34,21,0,0,0,0,0,0,,,,,,,
Kyle Walker-Peters,Defender,,,,,,,,,1,0,0,0,0,0,0,0,3,69,23.00,1,3,3,0,1,100,0,0,2,1,0,0,6,5,4,1,0,3,0,0,0,0,0,0,0,0,0,,,,,,,
Timothy Eyoma,Defender,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Erik Lamela,Midfielder,,,,,,,,,,,0,,0,0,17,4,2,354,23.60,6,15,12,3,11,73,,9,7,0,0,,51,45,64,16,4,12,3,24,29,6,1,1,1,2,1,0.27,0,0,27,10,37,4
Victor Wanyama,Midfielder,,,,,,,,,,,0,,0,0,3,0,0,85,17.00,1,5,4,1,2,100,,0,3,4,4,,5,10,5,1,6,2,0,1,100,0,0,0,0,0,0,0.00,0,0,2,1,50,0
Eric Dier,Midfielder,,,,,,,,,,,0,,3,0,20,2,0,770,51.33,31,15,12,3,25,56,,1,16,28,14,,63,55,78,1,24,25,2,5,20,4,0,1,1,0,0,0.13,0,0,5,2,40,0
Moussa Sissoko,Midfielder,,,,,,,,,,,0,,0,0,11,0,2,920,46.00,30,20,16,4,22,68,,3,12,17,12,,139,75,68,25,16,12,4,17,6,0,2,0,0,0,0,0.00,0,0,8,2,25,1
Dele Alli,Midfielder,,,,,,,,,,,0,,2,0,15,5,1,648,38.12,19,17,12,5,25,56,,4,15,10,3,,83,71,74,17,12,15,3,7,29,8,3,4,1,0,0,0.29,0,0,25,14,56,3
Christian Eriksen,Midfielder,,,,,,,,,,,0,,2,0,7,5,9,1160,50.43,44,23,17,6,27,63,,12,10,4,1,,114,55,93,8,8,24,7,67,28,15,1,0,4,1,1,0.22,0,0,43,18,42,2
Lucas Moura,Midfielder,,,,,,,,,,,0,,2,0,18,6,0,482,22.95,6,21,16,5,24,50,,4,20,21,18,,60,102,131,25,23,39,1,10,10,3,9,1,4,1,1,0.29,0,0,26,10,38,8
Harry Winks,Midfielder,,,,,,,,,,,0,,4,0,13,1,0,1238,53.83,56,23,17,6,21,62,,0,17,17,10,,123,60,75,15,12,14,0,8,13,1,2,1,0,0,0,0.04,0,0,7,2,29,1
Luke Amos,Midfielder,,,,,,,,,,,0,,0,0,0,0,0,3,3.00,0,1,1,0,1,0,,0,0,0,0,,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Oliver Skipp,Midfielder,,,,,,,,,,,0,,0,0,3,0,0,124,20.67,3,6,6,0,5,60,,1,1,5,5,,10,18,11,2,8,4,0,0,0,0,0,0,0,0,0,0.00,0,0,2,0,0,0
George Marsh,Midfielder,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Son Heung-Min,Forward,,,,,,,,,,,,,2,0,8,11,5,508,25.40,,20,16,4,18,,,17,5,2,0,,,,,,,,4,21,,,15,0,7,4,1,0.55,0,0,54,22,41,3
Harry Kane,Forward,,,,,,,,,,,,,4,0,23,14,4,446,20.27,,22,16,6,7,,,18,1,11,9,,,,,,,,7,9,,,7,2,9,3,1,0.64,3,0,77,37,48,8
Fernando Llorente,Forward,,,,,,,,,,,,,0,0,6,1,3,100,10.00,,10,8,2,1,,,2,1,7,7,,,,,,,,1,1,,,2,1,0,0,0,0.10,0,0,16,4,25,4
Vincent Janssen,Forward,,,,,,,,,,,,,0,0,0,0,0,0,0.00,,0,0,0,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.00,0,0,0,0,0,0
