name,position,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Clean sheets,Goals conceded,Errors leading to goal,Own goals,Yellow cards,Red cards,Fouls,Goals,Assists,Passes,Passes per match,Accurate long balls,Appearances,Wins,Losses,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Big chances created,Crosses,Cross accuracy %,Through balls,Offsides,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed
Adrián,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lukasz Fabianski,Goalkeeper,101,1,14,19,4,5,102,214,4,39,1,0,0,0,0,0,0,759,29.19,232,26,9,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winston Reid,Defender,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Aaron Cresswell,Defender,,,,,,,,,1,16,0,0,1,0,2,0,0,517,36.93,18,14,4,5,20,55,1,1,17,35,18,0,58,45,33,2,14,12,1,49,14,0,0,0,0,0,0,,,,,,,
Pablo Zabaleta,Defender,,,,,,,,,4,25,0,0,4,0,13,0,1,630,33.16,27,19,7,7,35,51,0,1,38,72,43,0,94,110,85,13,40,40,1,37,16,0,1,0,0,0,0,,,,,,,
Angelo Ogbonna,Defender,,,,,,,,,1,21,0,0,1,0,8,0,0,426,30.43,26,14,4,6,17,35,0,0,20,54,26,0,51,73,35,0,51,22,0,0,0,1,0,0,0,0,0,,,,,,,
Arthur Masuaku,Defender,,,,,,,,,2,24,0,0,1,0,14,0,1,568,33.41,32,17,7,7,42,45,0,1,32,45,24,0,104,78,75,18,13,18,0,24,13,0,0,0,0,0,0,,,,,,,
Ryan Fredericks,Defender,,,,,,,,,0,10,0,0,2,0,7,0,0,152,25.33,6,6,0,3,11,55,0,0,4,19,12,0,26,25,24,5,6,5,0,8,50,0,0,0,0,0,0,,,,,,,
Issa Diop,Defender,,,,,,,,,4,33,1,1,3,0,14,0,0,819,34.13,37,24,9,9,50,58,0,1,39,111,52,0,117,118,66,2,55,34,0,0,0,0,3,0,0,0,0,,,,,,,
Fabián Balbuena,Defender,,,,,,,,,3,25,0,0,2,0,16,1,0,633,37.24,42,17,6,8,33,55,1,2,41,123,59,0,75,88,80,1,51,49,0,1,0,0,0,0,1,0,1,,,,,,,
Manuel Lanzini,Midfielder,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Pedro Obiang,Midfielder,,,,,,,,,,,0,,0,0,10,0,1,400,23.53,36,17,8,4,28,61,,5,5,10,3,,48,49,49,4,8,15,2,4,0,2,2,0,0,0,0,0.00,0,0,13,1,8,0
