name,position,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Clean sheets,Goals conceded,Errors leading to goal,Own goals,Yellow cards,Red cards,Fouls,Goals,Assists,Passes,Passes per match,Accurate long balls,Appearances,Wins,Losses,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Big chances created,Crosses,Cross accuracy %,Through balls,Offsides,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed
Bernd Leno,Goalkeeper,93,1,16,16,10,12,165,222,5,34,2,0,2,0,0,0,0,679,27.16,61,25,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emiliano Martínez,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Macey,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Héctor Bellerín,Defender,,,,,,,,,1,8,0,0,2,0,6,1,0,228,45.60,6,5,0,2,10,90,0,0,7,8,4,0,17,23,31,8,4,7,0,17,6,0,0,0,0,1,0,,,,,,,
Sokratis,Defender,,,,,,,,,3,25,1,0,5,0,16,2,0,964,53.56,65,18,6,4,24,63,0,2,17,65,38,1,65,92,54,4,54,25,2,0,0,1,1,0,2,0,0,,,,,,,
Rob Holding,Defender,,,,,,,,,0,3,0,0,0,0,1,0,0,49,24.50,4,2,0,1,1,100,0,0,3,2,2,0,6,4,5,1,1,1,0,0,0,0,0,0,0,0,0,,,,,,,
Shkodran Mustafi,Defender,,,,,,,,,1,7,0,0,0,0,5,0,1,306,51.00,27,6,0,1,5,40,0,1,10,33,23,0,19,32,16,0,27,8,1,0,0,0,0,0,0,0,0,,,,,,,
Sead Kolasinac,Defender,,,,,,,,,1,18,0,0,3,0,13,0,2,533,33.31,11,16,5,4,22,55,0,1,11,19,15,0,65,60,40,13,14,7,2,27,22,0,5,0,0,0,0,,,,,,,
Calum Chambers,Defender,,,,,,,,,3,15,0,0,5,0,18,1,1,796,56.86,35,14,4,4,26,38,0,4,16,41,25,0,69,77,69,11,37,31,4,34,12,0,0,0,1,0,0,,,,,,,
Kieran Tierney,Defender,,,,,,,,,0,6,0,0,1,0,4,0,0,132,26.40,5,5,1,1,6,67,0,1,3,11,3,0,22,16,14,4,4,5,0,21,29,0,0,0,0,0,0,,,,,,,
David Luiz,Defender,,,,,,,,,4,28,0,0,4,1,21,2,0,1207,54.86,115,22,4,5,22,64,0,3,23,89,56,0,104,72,64,5,36,31,1,4,75,11,1,1,1,0,0,,,,,,,
Tolaji Bola,Defender,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Zech Medley,Defender,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Pablo Marí,Defender,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Cédric Soares,Defender,,,,,,,,,3,18,0,0,1,0,10,0,1,494,30.88,23,16,8,5,45,58,0,3,19,44,17,0,59,70,61,4,18,26,0,54,26,1,0,0,0,0,0,,,,,,,
Mesut Özil,Midfielder,,,,,,,,,,,0,,1,0,10,0,1,685,45.67,17,15,2,4,15,47,,3,5,1,0,,60,43,54,13,1,4,0,67,30,2,5,0,0,0,0,0.00,0,0,7,2,29,1
Lucas Torreira,Midfielder,,,,,,,,,,,0,,4,0,18,1,1,789,35.86,32,22,5,5,29,52,,3,29,21,9,,97,97,67,17,10,17,0,12,25,2,0,0,1,0,0,0.05,0,0,20,6,30,1
Ainsley Maitland-Niles,Midfielder,,,,,,,,,,,0,,3,1,12,0,2,739,52.79,30,14,5,3,32,59,,1,25,28,10,,73,79,65,18,16,9,2,18,33,2,0,0,0,0,0,0.00,0,0,3,0,0,1
Matteo Guendouzi,Midfielder,,,,,,,,,,,0,,6,0,15,0,1,1088,51.81,67,21,6,5,30,50,,5,27,32,15,,103,109,95,23,13,16,1,6,17,7,0,0,0,0,1,0.00,0,0,11,5,45,1
Granit Xhaka,Midfielder,,,,,,,,,,,0,,6,0,39,0,1,1233,64.89,98,19,5,3,34,50,,2,13,36,22,,135,106,102,16,31,33,1,9,33,3,0,0,0,0,0,0.00,0,0,8,2,25,0
Joseph Willock,Midfielder,,,,,,,,,,,0,,1,0,7,0,0,244,13.56,10,18,4,6,16,63,,3,2,6,1,,45,50,45,17,7,12,0,6,17,2,0,0,0,0,0,0.00,0,0,9,3,33,1
Dani Ceballos,Midfielder,,,,,,,,,,,0,,0,0,5,0,2,469,42.64,33,11,4,2,19,63,,3,1,2,2,,54,53,53,14,3,9,0,32,13,2,0,0,0,0,0,0.00,0,0,9,3,33,0
Robbie Burton,Midfielder,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Alexandre Lacazette,Forward,,,,,,,,,,,,,5,0,29,5,2,346,19.22,,18,2,5,22,,,6,5,6,5,,,,,,,,2,14,,,10,1,3,1,1,0.28,0,0,38,16,42,3
Pierre-Emerick Aubameyang,Forward,,,,,,,,,,,,,3,1,10,14,1,518,22.52,,23,6,6,20,,,16,7,6,2,,,,,,,,4,63,,,15,1,10,3,1,0.61,1,1,58,23,40,8
Gabriel Martinelli,Forward,,,,,,,,,,,0,,1,0,9,3,0,116,8.29,2,14,3,3,20,75,,2,3,5,4,,34,46,92,9,8,37,0,22,0,1,2,0,3,0,0,0.21,0,0,12,5,42,1
Reiss Nelson,Forward,,,,,,,,,,,,,1,0,6,0,0,163,16.30,,10,4,1,6,,,4,2,1,0,,,,,,,,0,17,,,2,0,0,0,0,0.00,0,0,8,3,38,0
Nicolas Pépé,Forward,,,,,,,,,,,,,3,0,9,3,3,496,23.62,,21,6,6,26,,,9,7,3,2,,,,,,,,4,77,,,1,0,0,3,3,0.14,1,0,38,13,34,2
Bukayo Saka,Forward,,,,,,,,,,,,,3,0,14,0,1,376,25.07,,15,3,3,29,,,2,6,8,4,,,,,,,,2,34,,,2,0,0,0,0,0.00,0,0,5,2,40,1
Folarin Balogun,Forward,,,,,,,,,,,,,0,0,0,0,0,0,0.00,,0,0,0,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.00,0,0,0,0,0,0
Eddie Nketiah,Forward,,,,,,,,,,,,,0,0,0,0,0,7,3.50,,2,0,0,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.00,0,0,1,0,0,0
