name,position,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Clean sheets,Goals conceded,Errors leading to goal,Own goals,Yellow cards,Red cards,Fouls,Goals,Assists,Passes,Passes per match,Accurate long balls,Appearances,Wins,Losses,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Big chances created,Crosses,Cross accuracy %,Through balls,Offsides,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed
Ørjan Nyland,Goalkeeper,8,0,0,1,2,0,10,22,0,8,0,0,0,0,0,0,0,53,17.67,15,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jed Steer,Goalkeeper,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2.00,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tom Heaton,Goalkeeper,408,3,40,96,73,53,436,1023,4,35,0,1,0,0,1,0,0,527,26.35,118,20,6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pepe Reina,Goalkeeper,557,3,1,1,2,3,12,14,0,4,0,0,0,0,0,0,0,77,25.67,24,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matija Sarkic,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neil Taylor,Defender,,,,,,,,,2,19,0,0,2,0,6,0,0,306,30.60,10,10,2,6,11,64,0,1,9,20,8,0,40,25,26,1,8,11,0,8,13,0,0,0,0,0,0,,,,,,,
Ahmed El Mohamady,Defender,,,,,,,,,1,24,0,0,0,0,6,0,1,351,31.91,19,11,2,8,11,45,0,1,10,18,9,0,57,36,28,6,17,12,2,41,32,0,1,0,0,0,0,,,,,,,
Frederic Guilbert,Defender,,,,,,,,,2,27,0,0,5,0,27,0,2,629,31.45,31,20,6,10,61,57,0,1,41,50,21,0,85,135,134,19,40,54,1,79,14,0,2,0,0,0,0,,,,,,,
Matt Targett,Defender,,,,,,,,,9,26,0,0,3,0,16,1,2,615,36.18,26,17,5,9,28,61,0,1,37,49,23,0,76,61,74,5,18,25,7,52,35,2,0,0,0,1,0,,,,,,,
Kortney Hause,Defender,,,,,,,,,,,1,,2,0,10,0,0,482,53.56,34,9,3,5,16,44,,0,11,56,29,,59,86,38,6,59,15,0,0,0,1,1,0,0,0,0,9,0,0,5,0,0,1
Tyrone Mings,Defender,,,,,,,,,3,36,2,0,5,0,13,2,1,937,44.62,71,21,6,11,7,86,0,0,17,119,51,3,135,65,45,8,46,29,1,6,17,0,2,0,0,2,0,,,,,,,
Ezri Konsa Ngoyo,Defender,,,,,,,,,2,25,1,0,0,0,6,0,2,450,34.62,20,13,5,6,12,50,0,3,14,38,13,0,57,60,40,4,29,26,1,2,0,0,0,0,0,0,0,,,,,,,
Björn Engels,Defender,,,,,,,,,2,25,0,0,1,0,4,0,0,571,38.07,41,15,3,10,11,55,0,0,23,76,39,0,45,67,34,1,51,26,0,2,50,0,1,0,0,0,0,,,,,,,
John McGinn,Midfielder,,,,,,,,,,,0,,2,0,24,3,2,525,29.17,63,18,4,11,45,67,,8,16,13,6,,111,138,123,42,11,23,3,49,22,3,0,0,0,3,2,0.17,0,0,38,15,39,3
Henri Lansbury,Midfielder,,,,,,,,,,,0,,0,0,4,0,0,82,9.11,7,9,2,6,6,33,,0,0,2,0,,10,9,15,0,2,6,0,1,0,0,0,0,0,0,0,0.00,0,0,2,0,0,0
Jack Grealish,Midfielder,,,,,,,,,,,1,,6,0,21,7,5,941,40.91,49,23,7,12,26,65,,9,13,6,2,,130,204,120,55,14,20,4,82,17,0,3,0,5,2,2,0.30,0,0,51,17,33,4
Conor Hourihane,Midfielder,,,,,,,,,,,0,,3,0,10,3,2,361,22.56,10,16,5,8,9,67,,5,4,17,5,,40,26,26,2,5,4,4,47,17,1,4,0,0,3,1,0.19,0,1,15,7,47,1
Keinan Davis,Midfielder,,,,,,,,,,,0,,0,0,1,0,0,30,4.29,2,7,1,4,1,100,,1,0,1,1,,4,13,13,6,5,7,0,1,0,0,0,0,0,0,0,7,0,0,7,3,43,1
Jota,Midfielder,,,,,,,,,,,0,,0,0,5,0,1,83,10.38,5,8,2,5,2,0,,3,2,5,1,,21,11,22,6,1,2,1,0,0,2,0,0,0,0,0,0.00,0,0,4,1,25,0
Anwar El Ghazi,Midfielder,,,,,,,,,,,0,,3,0,16,4,4,370,16.82,10,22,6,12,16,50,,9,8,11,5,,58,74,107,21,25,42,3,79,25,1,11,0,4,0,2,0.18,1,0,40,14,35,6
Trézéguet,Midfielder,,,,,,,,,,,0,,2,1,21,3,1,249,11.32,6,22,6,13,24,38,,20,16,13,9,,51,87,118,26,15,30,0,53,21,0,3,0,2,1,1,0.14,0,0,35,9,26,1
Douglas Luiz,Midfielder,,,,,,,,,,,1,,4,0,27,3,2,682,29.65,49,23,7,13,22,55,,12,14,25,9,,119,79,95,19,15,23,2,17,29,2,0,0,2,1,0,0.13,0,0,31,11,35,1
Marvelous Nakamba,Midfielder,,,,,,,,,,,1,,3,0,20,0,0,624,34.67,20,18,5,10,47,53,,0,28,25,4,,114,98,81,12,19,16,0,4,0,0,0,0,0,0,0,0.00,0,0,7,1,14,0
Daniel Drinkwater,Midfielder,,,,,,,,,,,1,,1,0,5,0,0,142,35.50,6,4,1,2,6,67,,0,5,3,0,,27,8,28,1,0,6,0,1,0,0,0,0,0,0,0,0.00,0,0,2,0,0,0
Wesley,Forward,,,,,,,,,,,,,3,0,43,5,1,367,17.48,,21,6,12,15,,,8,4,23,18,,,,,,,,1,7,,,14,0,5,0,1,0.24,0,0,35,18,51,5
Cameron Archer,Forward,,,,,,,,,,,,,0,0,0,0,0,0,0.00,,0,0,0,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.00,0,0,0,0,0,0
Indiana Vassilev,Forward,,,,,,,,,,,,,0,0,0,0,0,8,4.00,,2,1,0,0,,,0,0,0,0,,,,,,,,0,0,,,2,0,0,0,0,0.00,0,0,0,0,0,0
Mbwana Samatta,Forward,,,,,,,,,,,,,0,0,0,1,0,16,16.00,,1,0,1,0,,,1,0,0,0,,,,,,,,0,0,,,3,1,0,0,0,1,0,0,3,2,67,0
Borja Bastón,Forward,,,,,,,,,,,,,0,0,0,0,0,0,0.00,,0,0,0,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.00,0,0,0,0,0,0
