name,position,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Clean sheets,Goals conceded,Errors leading to goal,Own goals,Yellow cards,Red cards,Fouls,Goals,Assists,Passes,Passes per match,Accurate long balls,Appearances,Wins,Losses,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Big chances created,Crosses,Cross accuracy %,Through balls,Offsides,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed
Artur Boruc,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Travers,Goalkeeper,11,0,0,0,0,0,5,7,0,3,1,0,0,0,0,0,0,25,25.00,2,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Ramsdale,Goalkeeper,86,0,12,12,3,10,137,212,4,37,1,0,0,0,0,0,1,653,26.12,129,25,7,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William Dennis,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simon Francis,Defender,,,,,,,,,25,209,0,0,2,1,6,0,0,474,33.86,30,14,3,10,11,73,0,3,18,57,35,0,60,58,48,3,43,28,1,16,19,0,0,0,0,0,0,,,,,,,
Steve Cook,Defender,,,,,,,,,3,30,0,0,3,1,12,1,0,934,49.16,59,19,4,10,15,53,1,3,32,117,53,1,81,106,63,3,78,44,1,1,0,0,1,1,0,0,1,,,,,,,
Nathan Aké,Defender,,,,,,,,,3,29,0,0,1,0,6,2,1,947,45.10,40,21,6,11,22,68,0,5,30,96,50,0,103,76,60,3,41,46,2,5,0,1,1,1,0,1,0,,,,,,,
Charlie Daniels,Defender,,,,,,,,,0,2,0,0,0,0,0,0,0,37,18.50,3,2,1,1,1,100,0,0,1,4,4,0,11,3,2,0,2,0,0,5,40,0,0,0,0,0,0,,,,,,,
Adam Smith,Defender,,,,,,,,,3,20,0,0,4,0,15,0,1,544,36.27,14,15,4,8,31,74,0,1,14,37,16,0,66,98,69,17,25,17,1,19,16,0,2,0,0,0,0,,,,,,,
Diego Rico,Defender,,,,,,,,,4,46,0,0,6,0,12,0,2,857,40.81,44,21,6,11,53,62,0,3,66,46,22,0,119,92,84,12,23,25,4,122,25,1,1,0,0,0,1,,,,,,,
