name,position,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Clean sheets,Goals conceded,Errors leading to goal,Own goals,Yellow cards,Red cards,Fouls,Goals,Assists,Passes,Passes per match,Accurate long balls,Appearances,Wins,Losses,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Big chances created,Crosses,Cross accuracy %,Through balls,Offsides,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed
Mat Ryan,Goalkeeper,87,0,5,11,4,5,190,178,5,38,0,0,0,0,0,0,0,849,32.65,159,26,6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Steele,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Button,Goalkeeper,14,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shane Duffy,Defender,,,,,,,,,2,14,0,0,1,0,12,1,0,549,39.21,38,14,4,6,14,36,1,0,20,44,30,0,44,84,43,3,61,23,0,1,100,0,0,0,1,0,0,,,,,,,
Lewis Dunk,Defender,,,,,,,,,5,34,0,0,8,0,15,2,3,1692,70.50,140,24,6,9,27,67,1,2,41,75,29,0,192,110,77,5,66,40,1,1,0,1,0,1,1,0,1,,,,,,,
Martín Montoya,Defender,,,,,,,,,5,24,0,0,3,0,19,0,1,828,39.43,38,21,6,9,52,50,1,2,22,25,11,0,71,92,83,9,17,16,3,35,29,1,4,0,0,0,0,,,,,,,
Bernardo,Defender,,,,,,,,,0,12,0,0,1,0,3,0,0,264,29.33,11,9,1,4,25,60,0,2,5,13,8,0,41,59,24,8,25,5,3,14,21,0,1,0,0,0,0,,,,,,,
Dan Burn,Defender,,,,,,,,,5,30,0,0,3,0,22,0,0,1088,49.45,33,22,6,9,45,67,0,3,31,64,38,0,109,152,108,16,84,27,2,30,23,3,3,0,0,0,1,,,,,,,
Ezequiel Schelotto,Defender,,,,,,,,,0,5,0,0,1,0,5,0,0,85,14.17,3,6,2,2,2,100,0,1,2,7,4,0,15,13,16,2,6,2,0,9,0,0,1,0,0,0,0,,,,,,,
Adam Webster,Defender,,,,,,,,,2,31,1,1,3,0,8,3,0,1333,66.65,79,20,4,9,20,65,0,3,36,58,26,0,128,104,74,9,66,46,1,6,33,1,0,2,1,0,0,,,,,,,
