name,position,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Clean sheets,Goals conceded,Errors leading to goal,Own goals,Yellow cards,Red cards,Fouls,Goals,Assists,Passes,Passes per match,Accurate long balls,Appearances,Wins,Losses,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Big chances created,Crosses,Cross accuracy %,Through balls,Offsides,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed
Joe Hart,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Pope,Goalkeeper,193,1,4,26,5,15,115,199,9,38,2,0,0,0,0,0,0,672,26.88,194,25,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Legzdins,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bailey Peacock-Farrell,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthew Lowton,Defender,,,,,,,,,5,26,1,0,2,0,13,0,1,488,32.53,39,15,4,7,37,51,0,0,26,42,24,0,66,72,41,7,18,10,2,44,20,2,0,0,0,0,0,,,,,,,
Charlie Taylor,Defender,,,,,,,,,5,9,1,0,2,0,11,0,0,365,28.08,17,13,6,6,19,63,0,0,18,30,18,0,63,82,52,16,28,18,0,44,30,0,1,0,0,0,0,,,,,,,
James Tarkowski,Defender,,,,,,,,,9,38,0,0,6,0,30,1,1,877,35.08,65,25,9,12,38,63,0,5,46,130,72,0,130,197,87,11,125,41,4,3,0,0,2,0,0,1,0,,,,,,,
Ben Mee,Defender,,,,,,,,,9,38,2,0,4,0,16,0,1,966,38.64,76,25,9,12,30,60,0,2,35,122,60,0,131,158,100,4,110,78,2,2,50,0,3,0,0,0,1,,,,,,,
Ben Gibson,Defender,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Phil Bardsley,Defender,,,,,,,,,4,12,0,0,2,0,16,0,0,288,28.80,15,10,5,5,25,64,0,2,10,29,16,1,42,55,33,4,19,12,1,18,17,2,0,0,0,0,0,,,,,,,
Kevin Long,Defender,,,,,,,,,0,0,0,0,0,0,1,0,0,2,2.00,0,1,0,1,0,0,0,0,0,0,0,0,0,2,2,0,2,1,0,0,0,0,0,0,0,0,0,,,,,,,
Joel Senior,Defender,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Erik Pieters,Defender,,,,,,,,,3,29,0,0,1,0,12,0,3,514,34.27,21,15,4,8,35,71,0,0,22,32,13,0,66,74,48,3,24,8,3,27,26,0,0,0,0,0,0,,,,,,,
Ali Koiki,Defender,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Jimmy Dunne,Defender,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Jack Cork,Midfielder,,,,,,,,,,,0,,0,0,27,0,0,708,30.78,37,23,8,11,29,69,,6,18,36,18,,134,105,148,21,38,45,2,6,17,2,1,0,0,0,0,0.00,0,0,14,4,29,1
Jóhann Gudmundsson,Midfielder,,,,,,,,,,,0,,0,0,3,1,0,93,13.29,5,7,2,4,2,0,,2,5,4,3,,20,11,20,3,4,11,1,25,44,0,0,0,0,1,0,0.14,0,0,8,2,25,0
Robbie Brady,Midfielder,,,,,,,,,,,0,,1,0,7,1,2,109,8.38,4,13,3,9,7,86,,3,3,7,4,,30,24,34,6,7,7,1,12,8,2,0,0,0,1,1,0.08,0,0,8,1,13,0
Jeff Hendrick,Midfielder,,,,,,,,,,,0,,5,0,12,2,1,455,22.75,14,20,8,8,9,67,,5,14,13,6,,86,54,86,13,21,15,2,28,25,1,3,0,2,0,0,0.10,0,0,18,6,33,2
Ashley Westwood,Midfielder,,,,,,,,,,,0,,8,0,28,1,5,1009,45.86,67,22,9,9,29,69,,5,17,16,4,,160,64,80,4,13,14,8,91,32,4,1,0,1,0,0,0.05,0,0,9,1,11,0
Aaron Lennon,Midfielder,,,,,,,,,,,0,,3,0,9,0,0,116,8.29,2,14,5,7,14,57,,0,7,3,0,,23,26,28,3,2,9,0,7,14,0,0,0,0,0,0,0.00,0,0,1,0,0,0
Matej Vydra,Midfielder,,,,,,,,,,,0,,0,0,0,0,1,13,2.17,0,6,0,5,0,0,,0,0,0,0,,1,2,15,0,1,9,0,0,0,1,0,0,0,0,0,0.00,0,0,2,0,0,0
Dwight McNeil,Midfielder,,,,,,,,,,,,,4,0,20,1,4,602,24.08,,25,9,12,33,,,11,21,12,4,,,,,,,,9,165,,,0,0,0,1,1,0.04,0,0,30,8,27,0
Lewis Richardson,Midfielder,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Mace Goodridge,Midfielder,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Josh Brownhill,Midfielder,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ashley Barnes,Forward,,,,,,,,,,,,,4,0,35,6,0,251,13.21,,19,7,9,10,,,8,6,8,4,,,,,,,,0,5,,,13,0,6,0,0,0.25,1,0,40,12,30,7
Chris Wood,Forward,,,,,,,,,,,,,1,0,25,10,1,361,15.70,,23,9,10,7,,,4,3,12,11,,,,,,,,0,6,,,28,5,1,4,0,0.43,0,0,45,23,51,16
Jay Rodriguez,Forward,,,,,,,,,,,,,1,0,12,4,0,228,9.50,,24,9,11,22,,,3,5,3,1,,,,,,,,0,6,,,9,1,1,1,2,0.17,0,0,30,11,37,5
