name,position,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Clean sheets,Goals conceded,Errors leading to goal,Own goals,Yellow cards,Red cards,Fouls,Goals,Assists,Passes,Passes per match,Accurate long balls,Appearances,Wins,Losses,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Big chances created,Crosses,Cross accuracy %,Through balls,Offsides,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed
Kepa Arrizabalaga,Goalkeeper,41,0,4,14,1,10,103,146,5,32,0,0,0,0,0,0,0,680,28.33,92,24,12,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willy Caballero,Goalkeeper,2,0,0,0,0,0,3,7,0,2,0,0,0,0,0,0,0,28,28.00,4,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamie Cumming,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonio Rüdiger,Defender,,,,,,,,,2,10,0,0,2,0,10,2,0,723,72.30,55,10,4,3,14,64,0,2,6,33,17,0,73,50,38,2,32,22,1,4,0,1,0,2,0,0,0,,,,,,,
Marcos Alonso,Defender,,,,,,,,,3,4,0,0,3,0,7,1,2,397,49.63,12,8,7,1,17,59,0,2,12,14,9,0,47,45,38,2,20,16,2,27,26,0,2,0,0,1,0,,,,,,,
Andreas Christensen,Defender,,,,,,,,,2,20,0,0,3,0,10,0,0,695,57.92,30,12,5,4,21,43,0,1,15,37,20,0,61,70,42,1,42,30,1,0,0,1,0,0,0,0,0,,,,,,,
César Azpilicueta,Defender,,,,,,,,,3,33,0,0,0,0,26,2,3,1410,61.30,37,23,11,7,56,61,0,4,42,54,26,1,104,135,104,9,67,42,5,73,23,0,3,0,2,0,0,,,,,,,
Emerson,Defender,,,,,,,,,1,21,0,0,3,0,4,0,0,715,51.07,22,14,4,7,23,52,0,4,18,14,9,0,59,67,31,12,16,11,2,54,24,0,1,0,0,0,1,,,,,,,
Reece James,Defender,,,,,,,,,2,9,0,0,1,0,13,0,2,471,36.23,20,13,7,4,20,80,0,4,13,10,5,0,48,72,55,20,17,23,2,48,25,0,1,0,0,0,1,,,,,,,
Kurt Zouma,Defender,,,,,,,,,3,26,0,1,3,0,23,0,0,1408,70.40,87,20,10,7,20,60,3,1,38,84,45,0,109,121,57,7,83,27,0,0,0,0,1,0,0,0,0,,,,,,,
Fikayo Tomori,Defender,,,,,,,,,4,16,0,0,3,0,7,1,0,1083,77.36,37,14,9,4,28,54,0,1,21,35,15,0,90,75,45,9,33,27,0,4,25,3,1,0,1,0,0,,,,,,,
Ian Maatsen,Defender,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Jorginho,Midfielder,,,,,,,,,,,0,,9,0,24,4,2,1611,70.04,83,23,11,7,49,65,,4,52,21,6,,190,94,109,12,11,26,6,7,0,14,0,0,4,0,0,0.17,3,0,12,4,33,0
N'Golo Kanté,Midfielder,,,,,,,,,,,2,,3,0,37,3,0,855,50.29,22,17,5,8,38,42,,5,37,24,7,,131,81,122,21,14,27,1,23,43,0,0,0,2,1,0,0.18,0,0,16,6,38,1
Ross Barkley,Midfielder,,,,,,,,,,,0,,0,0,2,0,0,289,28.90,18,10,5,2,8,38,,9,5,2,1,,34,28,41,10,6,6,1,5,20,3,0,0,0,0,0,0.00,0,0,19,6,32,2
Ruben Loftus-Cheek,Midfielder,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Christian Pulisic,Midfielder,,,,,,,,,,,0,,0,0,5,5,2,430,26.88,9,16,7,6,14,36,,11,3,4,3,,47,83,118,39,15,26,3,26,8,4,2,2,2,1,0,0.31,0,0,40,17,43,6
Mateo Kovacic,Midfielder,,,,,,,,,,,0,,7,0,11,1,3,1308,59.45,66,22,11,6,40,63,,6,15,8,3,,119,134,79,56,6,9,2,6,17,8,0,0,1,0,0,0.05,0,0,15,4,27,0
Mason Mount,Midfielder,,,,,,,,,,,0,,3,0,25,5,4,791,31.64,13,25,12,8,24,54,,24,11,12,5,,93,86,141,27,7,35,7,101,26,2,2,0,5,0,2,0.20,0,0,59,21,36,5
Billy Gilmour,Midfielder,,,,,,,,,,,0,,0,0,1,0,0,11,5.50,0,2,1,0,0,0,,0,0,0,0,,0,2,4,1,0,1,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Faustino Anjorin,Midfielder,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Lewis Baker,Midfielder,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Pedro,Forward,,,,,,,,,,,,,0,0,4,0,0,162,27.00,,6,1,3,10,,,4,8,0,0,,,,,,,,1,9,,,0,0,0,0,0,0.00,0,0,13,6,46,1
Olivier Giroud,Forward,,,,,,,,,,,,,0,0,4,0,0,51,10.20,,5,2,2,0,,,0,0,3,3,,,,,,,,1,2,,,3,0,0,0,0,0.00,0,0,3,2,67,1
Callum Hudson-Odoi,Forward,,,,,,,,,,,,,1,0,11,1,4,382,22.47,,17,9,5,9,,,11,3,4,2,,,,,,,,5,56,,,2,0,1,0,1,0.06,0,0,21,4,19,1
Willian,Forward,,,,,,,,,,,,,2,0,10,4,4,931,38.79,,24,12,7,33,,,18,18,6,3,,,,,,,,6,96,,,3,0,4,0,1,0.17,1,0,48,14,29,2
Tammy Abraham,Forward,,,,,,,,,,,,,2,0,16,13,3,350,14.58,,24,12,7,5,,,13,5,24,20,,,,,,,,3,10,,,20,3,10,0,2,0.54,0,0,72,32,44,16
Michy Batshuayi,Forward,,,,,,,,,,,,,0,0,3,1,1,59,4.21,,14,7,5,3,,,4,0,1,1,,,,,,,,0,0,,,5,0,0,1,0,0.07,0,0,13,2,15,3
