name,position,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Clean sheets,Goals conceded,Errors leading to goal,Own goals,Yellow cards,Red cards,Fouls,Goals,Assists,Passes,Passes per match,Accurate long balls,Appearances,Wins,Losses,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Big chances created,Crosses,Cross accuracy %,Through balls,Offsides,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed
Wayne Hennessey,Goalkeeper,13,0,1,0,0,0,5,23,0,4,0,0,0,0,0,0,0,62,31.00,27,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vicente Guaita,Goalkeeper,75,0,18,13,6,8,114,198,6,28,1,1,1,0,0,0,0,640,26.67,162,24,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephen Henderson,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joel Ward,Defender,,,,,,,,,3,18,1,0,3,0,12,0,0,555,32.65,28,17,4,9,32,66,0,1,28,46,30,0,72,82,48,5,25,16,0,19,21,0,0,0,0,0,0,,,,,,,
Patrick van Aanholt,Defender,,,,,,,,,4,24,0,1,0,0,2,2,0,797,41.95,18,19,7,9,24,46,0,5,29,25,13,1,107,50,50,11,12,8,1,51,31,2,2,0,0,2,1,,,,,,,
James Tomkins,Defender,,,,,,,,,3,23,0,0,5,0,14,1,1,671,37.28,46,18,3,8,29,59,0,0,21,99,42,0,82,100,53,1,60,32,0,1,0,1,1,1,0,0,0,,,,,,,
Mamadou Sakho,Defender,,,,,,,,,0,8,0,0,0,1,1,0,0,277,34.63,12,8,4,1,4,50,0,0,11,21,8,0,29,14,16,1,8,10,0,0,0,0,0,0,0,0,0,,,,,,,
Jeffrey Schlupp,Defender,,,,,,,,,1,12,0,0,2,0,14,2,1,259,18.50,9,14,6,6,17,53,0,6,10,10,6,0,37,50,57,9,13,16,2,7,29,1,1,0,0,2,0,,,,,,,
Martin Kelly,Defender,,,,,,,,,5,16,1,0,0,0,8,0,1,570,30.00,32,19,7,5,23,78,0,0,16,74,33,0,71,61,58,5,33,25,1,20,30,0,0,0,0,0,0,,,,,,,
Jairo Riedewald,Defender,,,,,,,,,0,7,0,0,0,0,2,0,0,247,30.88,15,8,1,1,10,70,0,2,9,15,8,0,34,20,16,5,3,5,0,4,0,1,0,0,0,0,0,,,,,,,
Nikola Tavares,Defender,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Scott Dann,Defender,,,,,,,,,1,3,0,0,0,0,0,0,1,195,32.50,9,6,1,3,0,0,0,1,4,21,12,0,23,16,13,1,15,11,0,0,0,0,0,0,0,0,0,,,,,,,
Gary Cahill,Defender,,,,,,,,,3,26,0,0,1,0,11,0,1,715,42.06,48,17,4,8,10,50,0,7,9,84,41,0,66,78,56,4,57,39,1,0,0,0,0,0,0,0,0,,,,,,,
Tyrick Mitchell,Defender,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Luka Milivojevic,Midfielder,,,,,,,,,,,0,,9,0,39,2,1,1117,50.77,82,22,6,9,47,53,,8,37,30,11,,145,99,111,7,27,23,1,127,22,3,1,0,2,0,0,0.09,2,0,24,7,29,0
Max Meyer,Midfielder,,,,,,,,,,,0,,1,0,6,0,0,154,11.85,2,13,2,6,16,56,,2,4,2,0,,21,38,42,5,2,8,0,7,0,0,2,0,0,0,0,0.00,0,0,8,2,25,0
Cheikhou Kouyaté,Midfielder,,,,,,,,,,,0,,1,0,18,1,1,578,24.08,10,24,7,9,40,53,,3,28,35,20,,94,136,110,13,65,49,1,14,14,1,1,0,1,0,0,0.04,0,0,20,3,15,1
Andros Townsend,Midfielder,,,,,,,,,,,0,,0,0,5,1,1,235,15.67,6,15,6,6,20,75,,1,10,2,1,,60,58,61,25,1,7,2,37,16,0,0,0,0,1,0,0.07,0,0,5,4,80,0
James McArthur,Midfielder,,,,,,,,,,,0,,4,0,36,0,2,959,38.36,43,25,7,9,58,60,,6,45,38,14,,129,137,173,18,36,59,2,26,12,1,1,0,0,0,0,0.00,0,0,23,6,26,2
James McCarthy,Midfielder,,,,,,,,,,,0,,5,0,18,0,0,407,19.38,23,21,5,8,45,62,,1,14,6,1,,77,73,63,6,10,13,0,11,18,0,0,0,0,0,0,0.00,0,0,8,2,25,0
Nya Kirby,Midfielder,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
