name,position,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Clean sheets,Goals conceded,Errors leading to goal,Own goals,Yellow cards,Red cards,Fouls,Goals,Assists,Passes,Passes per match,Accurate long balls,Appearances,Wins,Losses,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Big chances created,Crosses,Cross accuracy %,Through balls,Offsides,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed
Jordan Pickford,Goalkeeper,63,0,9,10,7,7,123,182,6,38,2,0,1,0,1,0,0,819,31.50,218,26,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maarten Stekelenburg,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leighton Baines,Defender,,,,,,,,,0,2,0,0,0,0,1,0,0,57,19.00,2,3,2,0,3,33,0,0,1,7,2,0,2,7,7,1,2,4,0,7,29,0,0,0,0,0,0,,,,,,,
Michael Keane,Defender,,,,,,,,,4,27,0,0,0,0,12,1,0,803,40.15,59,20,9,8,23,52,0,1,26,80,51,0,82,110,91,0,82,70,0,0,0,1,0,0,1,0,1,,,,,,,
Lucas Digne,Defender,,,,,,,,,4,36,0,1,2,0,25,0,5,972,38.88,37,25,9,10,55,60,0,11,31,58,23,0,125,156,106,15,69,35,7,211,27,1,3,0,0,0,1,,,,,,,
Yerry Mina,Defender,,,,,,,,,4,33,0,1,3,0,18,2,0,1155,48.13,99,24,9,9,35,54,0,5,25,89,52,0,114,152,90,4,102,66,1,4,0,1,1,1,1,0,0,,,,,,,
Séamus Coleman,Defender,,,,,,,,,3,19,1,0,3,1,12,0,1,558,32.82,21,17,6,7,24,67,0,1,18,18,11,0,81,88,55,34,18,14,2,35,6,0,1,0,0,0,0,,,,,,,
Mason Holgate,Defender,,,,,,,,,3,24,0,0,3,0,11,0,3,732,38.53,75,19,9,5,30,57,0,1,23,63,30,1,96,92,52,7,35,30,3,2,50,2,1,0,0,0,0,,,,,,,
Cuco Martina,Defender,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Djibril Sidibé,Defender,,,,,,,,,3,21,0,0,2,0,21,0,4,698,38.78,36,18,8,6,64,59,1,3,34,22,12,0,119,115,90,12,24,27,4,54,31,3,2,0,0,0,0,,,,,,,
Gylfi Sigurdsson,Midfielder,,,,,,,,,,,1,,2,0,21,1,2,651,28.30,33,23,10,10,36,64,,12,21,11,2,,100,76,107,14,11,18,5,105,30,2,1,0,1,0,0,0.04,0,0,32,12,38,2
Morgan Schneiderlin,Midfielder,,,,,,,,,,,0,,3,1,17,0,0,539,38.50,53,14,4,8,29,72,,1,20,19,9,,53,50,45,3,17,11,0,8,13,1,0,0,0,0,0,0.00,0,0,6,0,0,0
Tom Davies,Midfielder,,,,,,,,,,,0,,6,0,20,1,0,514,27.05,26,19,7,6,22,45,,3,25,12,4,,91,80,89,12,21,28,0,7,43,2,1,1,0,0,0,0.05,0,0,13,5,38,1
André Gomes,Midfielder,,,,,,,,,,,0,,3,0,18,0,0,333,41.63,29,8,3,3,8,75,,0,2,4,3,,55,33,62,11,6,8,0,3,33,1,0,0,0,0,0,0.00,0,0,2,0,0,0
Fabian Delph,Midfielder,,,,,,,,,,,1,,3,1,18,0,0,730,48.67,54,15,5,6,23,48,,2,13,15,8,,90,65,50,21,15,9,0,8,63,1,0,0,0,0,0,0.00,0,0,2,0,0,0
