name,position,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Clean sheets,Goals conceded,Errors leading to goal,Own goals,Yellow cards,Red cards,Fouls,Goals,Assists,Passes,Passes per match,Accurate long balls,Appearances,Wins,Losses,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Big chances created,Crosses,Cross accuracy %,Through balls,Offsides,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed
Marcus Bettinelli,Goalkeeper,20,1,8,1,1,5,32,67,0,20,0,0,1,0,0,0,0,211,30.14,66,7,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabri,Goalkeeper,16,0,0,1,1,3,14,14,0,5,1,0,0,0,0,0,0,47,23.50,16,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sergio Rico,Goalkeeper,62,0,10,4,9,9,57,163,2,33,1,0,0,0,0,0,0,477,28.06,166,17,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luca Ashby-Hammond,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denis Odoi,Defender,,,,,,,,,2,52,0,1,4,0,29,0,1,1117,46.54,62,24,4,15,36,72,0,1,29,126,53,0,160,117,94,12,45,47,1,8,13,1,0,0,0,0,0,,,,,,,
Tim Ream,Defender,,,,,,,,,2,33,1,0,0,0,6,0,0,550,34.38,16,16,2,11,12,75,0,0,11,49,22,1,65,43,52,2,25,33,0,1,0,0,0,0,0,0,0,,,,,,,
Cyrus Christie,Defender,,,,,,,,,2,31,0,0,4,0,25,0,0,669,33.45,17,20,3,14,27,52,0,2,22,59,33,0,70,103,114,20,47,26,1,77,18,0,2,0,0,0,0,,,,,,,
Maxime Le Marchand,Defender,,,,,,,,,0,42,1,0,2,0,22,0,1,924,48.63,56,19,4,13,41,63,0,2,40,100,38,0,123,98,82,10,41,36,1,17,24,0,1,0,0,0,0,,,,,,,
Alfie Mawson,Defender,,,,,,,,,1,22,0,0,2,0,6,0,0,393,30.23,41,13,2,6,11,64,0,0,17,62,36,0,59,45,29,0,29,19,0,1,0,0,0,0,0,0,0,,,,,,,
Calum Chambers,Defender,,,,,,,,,2,29,0,0,5,0,22,1,0,785,41.32,55,19,4,10,42,60,0,7,51,67,27,0,145,104,96,15,44,39,0,8,0,1,0,0,1,0,1,,,,,,,
Timothy Fosu-Mensah,Defender,,,,,,,,,0,15,0,1,3,0,7,0,0,310,34.44,13,9,1,6,9,67,0,0,7,16,7,0,31,20,29,6,5,11,0,14,21,1,0,0,0,0,0,,,,,,,
