name,position,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Clean sheets,Goals conceded,Errors leading to goal,Own goals,Yellow cards,Red cards,Fouls,Goals,Assists,Passes,Passes per match,Accurate long balls,Appearances,Wins,Losses,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Big chances created,Crosses,Cross accuracy %,Through balls,Offsides,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed
Kasper Schmeichel,Goalkeeper,65,0,5,9,8,8,107,170,8,26,0,0,1,0,0,0,0,687,27.48,155,25,15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danny Ward,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eldin Jakupovic,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Chilwell,Defender,,,,,,,,,7,21,0,0,1,0,20,2,3,1281,64.05,35,20,12,5,29,62,0,1,24,44,21,0,127,109,95,10,45,26,5,74,19,3,0,0,1,1,1,,,,,,,
Çaglar Söyüncü,Defender,,,,,,,,,8,25,0,0,4,0,20,1,1,1637,68.21,75,24,14,6,40,73,0,0,34,117,54,1,141,144,84,14,77,48,1,3,0,0,1,1,0,0,0,,,,,,,
Wes Morgan,Defender,,,,,,,,,0,1,0,0,0,0,1,0,0,88,12.57,1,7,7,0,0,0,0,0,2,11,7,0,5,10,11,2,8,10,0,0,0,0,0,0,0,0,0,,,,,,,
Jonny Evans,Defender,,,,,,,,,6,26,0,0,4,0,10,1,1,1595,63.80,57,25,15,6,31,74,0,1,34,119,51,0,147,119,68,5,70,49,0,3,0,1,1,1,0,0,0,,,,,,,
Ricardo Pereira,Defender,,,,,,,,,8,25,0,0,1,0,36,3,2,1371,57.13,53,24,14,6,106,60,3,3,42,67,34,0,151,224,181,53,36,44,4,52,10,3,0,0,2,1,0,,,,,,,
Christian Fuchs,Defender,,,,,,,,,2,5,0,0,0,0,2,0,0,418,59.71,18,7,5,1,11,73,0,1,9,18,10,0,28,26,28,1,14,16,0,9,22,0,1,0,0,0,0,,,,,,,
Daniel Amartey,Defender,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
James Justin,Defender,,,,,,,,,0,1,0,0,0,0,0,0,1,75,25.00,0,3,3,0,3,0,0,0,1,2,1,0,8,7,9,2,1,3,1,3,33,0,0,0,0,0,0,,,,,,,
Ryan Bennett,Defender,,,,,,,,,1,9,0,0,2,0,4,0,0,228,20.73,11,11,4,3,4,50,0,0,9,28,14,0,32,25,22,0,20,13,0,4,50,0,0,0,0,0,0,,,,,,,
Demarai Gray,Midfielder,,,,,,,,,,,0,,1,0,1,1,1,181,12.93,4,14,10,3,10,60,,2,4,1,0,,20,25,32,7,0,4,3,13,23,1,2,0,1,0,0,0.07,0,0,12,6,50,1
James Maddison,Midfielder,,,,,,,,,,,0,,3,0,30,6,3,1157,48.21,55,24,14,6,46,46,,22,9,4,1,,128,169,133,42,7,20,7,181,26,17,4,0,4,2,1,0.25,0,1,58,16,28,6
Marc Albrighton,Midfielder,,,,,,,,,,,0,,1,0,4,0,1,193,17.55,14,11,6,3,7,71,,1,4,1,0,,29,22,32,8,1,3,3,27,15,2,1,0,0,0,0,0.00,0,0,5,2,40,0
Harvey Barnes,Midfielder,,,,,,,,,,,0,,0,0,16,4,6,456,19.83,9,23,14,6,9,67,,10,6,3,1,,68,73,91,29,19,23,4,24,13,4,4,0,3,1,0,0.17,0,0,42,18,43,6
Matty James,Midfielder,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Nampalys Mendy,Midfielder,,,,,,,,,,,0,,0,0,2,0,0,120,30.00,10,4,3,1,5,80,,0,5,1,1,,21,15,7,1,5,1,0,2,100,0,0,0,0,0,0,0.00,0,0,1,1,100,0
Wilfred Ndidi,Midfielder,,,,,,,,,,,1,,3,0,29,2,1,1071,51.00,53,21,14,4,86,52,,4,56,44,15,,177,173,127,15,58,44,0,1,0,2,1,1,1,0,1,0.10,0,0,17,3,18,0
Hamza Choudhury,Midfielder,,,,,,,,,,,0,,2,0,8,1,1,374,26.71,12,14,7,4,14,50,,3,20,10,3,,34,32,42,2,11,8,0,2,0,0,0,0,1,0,0,0.07,0,0,6,2,33,0
Youri Tielemans,Midfielder,,,,,,,,,,,0,,1,0,24,3,5,1204,50.17,70,24,14,6,28,43,,13,16,8,2,,124,89,104,17,17,19,5,42,19,11,1,0,2,1,1,0.13,0,0,41,9,22,0
Dennis Praet,Midfielder,,,,,,,,,,,0,,0,0,10,1,2,343,20.18,11,17,9,5,22,68,,5,7,10,5,,55,40,55,5,3,10,3,13,15,2,1,0,1,0,0,0.06,0,0,9,2,22,0
Kelechi Iheanacho,Forward,,,,,,,,,,,,,1,0,7,3,3,101,11.22,,9,5,2,2,,,5,0,2,1,,,,,,,,3,1,,,7,1,1,1,0,0.33,0,0,15,8,53,2
Jamie Vardy,Forward,,,,,,,,,,,,,2,0,16,17,4,289,12.57,,23,13,6,11,,,5,2,14,11,,,,,,,,7,19,,,18,3,7,7,1,0.74,3,0,53,33,62,14
