name,position,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Clean sheets,Goals conceded,Errors leading to goal,Own goals,Yellow cards,Red cards,Fouls,Goals,Assists,Passes,Passes per match,Accurate long balls,Appearances,Wins,Losses,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Big chances created,Crosses,Cross accuracy %,Through balls,Offsides,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed
Alisson,Goalkeeper,40,0,3,4,5,10,86,109,9,6,0,0,0,1,1,0,1,493,29.00,72,17,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caoimhin Kelleher,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andy Lonergan,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adrián,Goalkeeper,16,0,3,5,1,6,48,66,2,9,2,0,1,0,0,0,0,244,24.40,44,10,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Winterbottom,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitezslav Jaros,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgil van Dijk,Defender,,,,,,,,,11,15,0,0,1,0,10,4,0,2051,82.04,131,25,24,0,21,57,2,3,27,121,59,0,132,162,55,2,122,40,1,0,0,5,1,4,0,0,0,,,,,,,
Dejan Lovren,Defender,,,,,,,,,0,8,0,0,1,0,2,0,1,546,68.25,22,8,8,0,10,70,2,0,8,37,16,0,39,58,24,1,40,18,1,0,0,1,0,0,0,0,0,,,,,,,
Joseph Gomez,Defender,,,,,,,,,9,2,0,0,3,0,13,0,0,983,61.44,36,16,16,0,14,71,0,0,20,36,17,0,70,61,36,5,35,14,0,6,33,1,0,0,0,0,0,,,,,,,
Andrew Robertson,Defender,,,,,,,,,8,15,0,0,1,0,14,1,6,1687,67.48,62,25,24,0,41,59,0,4,30,44,18,0,157,87,80,15,22,24,9,121,19,2,1,1,0,0,0,,,,,,,
Joel Matip,Defender,,,,,,,,,2,5,0,0,0,0,6,1,0,491,70.14,20,7,6,0,12,75,0,0,12,37,24,0,47,59,20,2,41,5,0,1,0,0,0,1,0,0,0,,,,,,,
Ki-Jana Hoever,Defender,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Trent Alexander-Arnold,Defender,,,,,,,,,9,15,0,0,4,0,18,2,10,1708,68.32,129,25,24,0,38,63,1,12,33,54,21,0,151,72,103,15,13,23,13,255,23,4,1,0,2,0,0,,,,,,,
