name,position,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Clean sheets,Goals conceded,Errors leading to goal,Own goals,Yellow cards,Red cards,Fouls,Goals,Assists,Passes,Passes per match,Accurate long balls,Appearances,Wins,Losses,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Big chances created,Crosses,Cross accuracy %,Through balls,Offsides,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed
Claudio Bravo,Goalkeeper,8,0,2,0,1,0,17,28,1,7,0,0,0,0,0,0,0,119,29.75,22,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ederson,Goalkeeper,43,0,6,9,2,12,111,83,7,22,1,0,3,1,2,0,0,476,21.64,73,22,14,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott Carson,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Walker,Defender,,,,,,,,,5,22,0,0,4,0,22,1,2,1258,66.21,82,19,11,6,18,56,0,5,18,24,9,0,104,67,78,16,22,26,1,36,17,0,3,0,0,1,0,,,,,,,
John Stones,Defender,,,,,,,,,2,15,0,0,0,0,4,0,0,744,67.64,43,11,6,3,13,62,0,1,8,24,11,0,57,55,22,4,37,17,0,0,0,0,1,0,0,0,0,,,,,,,
Aymeric Laporte,Defender,,,,,,,,,1,3,0,0,1,0,5,0,0,407,81.40,19,5,4,0,5,40,0,0,9,9,5,0,25,23,13,1,13,7,0,0,0,0,0,0,0,0,0,,,,,,,
Benjamin Mendy,Defender,,,,,,,,,1,11,1,0,2,0,9,0,2,692,62.91,18,11,8,1,12,75,0,3,13,10,5,0,58,33,52,10,10,16,2,51,31,0,0,0,0,0,0,,,,,,,
Nicolás Otamendi,Defender,,,,,,,,,3,17,1,0,3,0,15,2,0,1008,63.00,34,16,10,5,20,55,0,2,16,53,26,0,53,62,54,1,39,26,0,0,0,0,0,1,1,0,0,,,,,,,
Oleksandr Zinchenko,Defender,,,,,,,,,,,0,,0,1,11,0,0,732,66.55,19,11,7,3,25,64,,4,11,12,7,,53,45,44,2,17,17,0,27,33,1,0,0,0,0,0,0.00,0,0,12,2,17,0
João Cancelo,Defender,,,,,,,,,2,8,0,0,1,0,10,0,0,547,54.70,16,10,7,2,21,67,0,2,13,9,6,0,53,51,47,13,12,14,3,22,23,0,0,0,0,0,0,,,,,,,
