name,position,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Clean sheets,Goals conceded,Errors leading to goal,Own goals,Yellow cards,Red cards,Fouls,Goals,Assists,Passes,Passes per match,Accurate long balls,Appearances,Wins,Losses,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Big chances created,Crosses,Cross accuracy %,Through balls,Offsides,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed
David de Gea,Goalkeeper,65,0,5,3,9,3,112,171,5,29,2,0,2,0,0,0,0,512,20.48,60,25,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee Grant,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sergio Romero,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matej Kovar,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Bishop,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victor Lindelöf,Defender,,,,,,,,,5,26,0,1,4,0,12,1,0,1354,58.87,47,23,9,6,17,35,0,1,17,81,41,0,149,89,55,4,64,38,0,2,0,2,0,1,0,0,0,,,,,,,
Eric Bailly,Defender,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Phil Jones,Defender,,,,,,,,,0,3,1,0,0,0,3,0,0,97,48.50,3,2,0,1,2,100,0,0,2,9,4,0,11,17,9,1,13,7,0,1,0,0,0,0,0,0,0,,,,,,,
Diogo Dalot,Defender,,,,,,,,,0,1,0,0,0,0,1,0,0,51,17.00,1,3,0,2,3,67,0,0,2,1,1,0,5,6,7,0,3,1,0,3,0,0,0,0,0,0,0,,,,,,,
Luke Shaw,Defender,,,,,,,,,2,10,0,0,4,0,11,0,0,604,43.14,8,14,5,5,16,50,0,2,13,27,17,0,46,50,40,9,20,13,0,23,13,1,2,0,0,0,0,,,,,,,
Aaron Wan-Bissaka,Defender,,,,,,,,,4,27,0,0,4,0,12,0,1,1114,50.64,22,22,8,7,88,68,0,1,45,40,15,0,119,154,102,37,16,23,3,66,12,1,1,0,0,0,0,,,,,,,
Timothy Fosu-Mensah,Defender,,,,,,,,,4,48,0,0,0,0,0,0,0,0,0.00,0,0,0,0,77,70,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Axel Tuanzebe,Defender,,,,,,,,,0,3,1,0,0,0,3,0,0,136,27.20,4,5,2,1,2,100,0,0,5,4,3,0,15,8,20,0,3,12,0,1,0,0,0,0,0,0,0,,,,,,,
Harry Maguire,Defender,,,,,,,,,5,29,0,0,2,0,20,0,1,1613,64.52,103,25,9,8,30,63,0,6,41,100,62,0,163,164,83,5,116,47,2,2,0,1,4,0,0,0,0,,,,,,,
Brandon Williams,Defender,,,,,,,,,2,9,0,0,4,0,10,1,0,322,35.78,8,9,3,3,12,58,0,0,9,8,6,0,35,35,33,8,7,6,0,6,17,0,1,0,1,0,0,,,,,,,
Ethan Laird,Defender,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Max Taylor,Defender,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Di'Shon Bernard,Defender,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Teden Mengi,Defender,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Paul Pogba,Midfielder,,,,,,,,,,,0,,0,0,9,0,2,465,66.43,41,7,2,2,11,55,,2,3,5,4,,54,42,40,9,15,4,1,2,0,5,0,0,0,0,0,0.00,0,0,14,5,36,3
Juan Mata,Midfielder,,,,,,,,,,,0,,1,0,7,0,2,471,29.44,19,16,4,7,7,43,,2,0,1,0,,33,24,31,5,2,6,3,21,33,4,2,0,0,0,0,0.00,0,0,10,2,20,1
Jesse Lingard,Midfielder,,,,,,,,,,,0,,3,0,27,0,0,375,18.75,4,20,7,6,14,50,,9,3,0,0,,36,40,69,13,2,12,1,6,0,3,0,0,0,0,0,0.00,0,0,20,5,25,2
Andreas Pereira,Midfielder,,,,,,,,,,,0,,3,0,27,1,3,677,30.77,29,22,9,6,23,52,,9,7,4,1,,84,69,140,20,10,34,5,62,16,2,3,0,0,1,0,0.05,0,0,37,14,38,1
Fred,Midfielder,,,,,,,,,,,0,,4,0,34,0,0,1326,63.14,91,21,8,7,42,52,,7,30,24,7,,177,112,147,32,9,16,2,52,25,2,1,0,0,0,1,0.00,0,0,34,8,24,0
Nemanja Matic,Midfielder,,,,,,,,,,,0,,1,0,11,0,0,466,58.25,14,8,3,4,15,47,,1,3,6,5,,54,49,34,14,16,7,0,2,50,1,0,0,0,0,0,0.00,0,0,4,1,25,0
Scott McTominay,Midfielder,,,,,,,,,,,1,,2,0,28,3,1,807,47.47,57,17,7,5,38,53,,12,23,27,17,,125,140,104,24,38,28,2,11,18,2,0,0,2,1,0,0.18,0,0,27,8,30,1
Daniel James,Midfielder,,,,,,,,,,,0,,3,0,8,3,6,570,23.75,11,24,8,8,20,50,,9,5,4,1,,80,95,106,21,7,17,6,83,16,3,2,0,3,0,0,0.13,0,0,33,15,45,2
