name,position,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Clean sheets,Goals conceded,Errors leading to goal,Own goals,Yellow cards,Red cards,Fouls,Goals,Assists,Passes,Passes per match,Accurate long balls,Appearances,Wins,Losses,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Big chances created,Crosses,Cross accuracy %,Through balls,Offsides,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed
Robert Elliot,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin Dubravka,Goalkeeper,103,0,12,12,8,8,68,234,7,36,3,0,0,0,0,0,0,632,25.28,213,25,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karl Darlow,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ciaran Clark,Defender,,,,,,,,,4,12,0,0,3,0,9,2,0,304,23.38,25,13,6,2,19,63,0,0,10,76,38,0,46,60,52,6,29,37,0,0,0,0,0,1,0,1,0,,,,,,,
Paul Dummett,Defender,,,,,,,,,3,20,0,1,2,0,4,0,0,449,28.06,25,16,6,6,27,63,0,0,23,61,31,0,54,62,44,1,28,32,0,15,13,0,0,0,0,0,0,,,,,,,
Fabian Schär,Defender,,,,,,,,,4,24,1,0,4,0,22,2,0,540,33.75,70,16,4,9,35,57,0,4,33,62,25,1,87,86,72,6,27,26,0,10,10,1,1,0,1,1,0,,,,,,,
Jamaal Lascelles,Defender,,,,,,,,,4,20,0,0,1,0,11,1,0,401,26.73,29,15,5,5,7,14,0,1,19,80,43,1,77,56,41,4,36,24,0,0,0,0,0,1,0,0,0,,,,,,,
Federico Fernández,Defender,,,,,,,,,4,22,0,0,4,0,12,2,1,551,29.00,55,19,7,6,33,61,0,1,13,118,67,0,73,82,59,8,36,22,1,23,22,0,1,1,1,0,1,,,,,,,
Javier Manquillo,Defender,,,,,,,,,3,12,0,0,2,0,11,0,1,179,16.27,5,11,3,5,20,75,0,1,9,23,7,0,44,46,31,8,9,7,0,22,9,0,1,0,0,0,0,,,,,,,
Florian Lejeune,Defender,,,,,,,,,1,10,2,0,0,0,6,2,0,197,32.83,14,6,1,3,8,25,0,0,10,13,8,0,35,24,19,4,10,7,0,3,0,0,0,0,1,1,0,,,,,,,
DeAndre Yedlin,Defender,,,,,,,,,1,11,0,0,3,0,8,1,0,209,17.42,12,12,4,6,16,69,0,0,6,14,6,1,30,32,35,1,6,11,0,28,21,0,2,1,0,0,0,,,,,,,
Jetro Willems,Defender,,,,,,,,,2,24,0,0,0,0,10,2,2,429,22.58,9,19,6,8,37,51,0,5,17,38,22,0,95,97,65,21,22,16,2,32,16,1,1,0,2,0,0,,,,,,,
Emil Krafth,Defender,,,,,,,,,1,12,0,0,0,0,3,0,0,157,14.27,3,11,4,5,10,70,0,1,4,24,14,0,25,18,11,1,4,2,0,13,8,0,0,0,0,0,0,,,,,,,
Lewis Cass,Defender,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Liam Gibson,Defender,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Danny Rose,Defender,,,,,,,,,0,14,2,0,5,0,15,0,0,473,36.38,12,13,4,5,18,61,0,1,8,32,15,0,46,56,47,10,11,7,1,37,22,1,0,0,0,0,0,,,,,,,
Jonjo Shelvey,Midfielder,,,,,,,,,,,0,,1,0,9,5,0,504,33.60,68,15,6,6,17,53,,7,19,20,10,,78,41,43,10,9,7,4,46,30,2,0,1,4,0,2,0.33,0,1,25,9,36,0
