name,position,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Clean sheets,Goals conceded,Errors leading to goal,Own goals,Yellow cards,Red cards,Fouls,Goals,Assists,Passes,Passes per match,Accurate long balls,Appearances,Wins,Losses,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Big chances created,Crosses,Cross accuracy %,Through balls,Offsides,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed
Tim Krul,Goalkeeper,82,2,17,20,3,7,127,194,4,40,0,1,4,0,1,0,0,806,35.04,147,23,4,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael McGovern,Goalkeeper,7,1,2,0,0,1,11,14,0,6,0,0,0,0,0,0,0,40,20.00,4,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ralf Fährmann,Goalkeeper,1,0,0,1,0,0,2,3,0,1,0,0,0,0,0,0,0,8,8.00,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archie Mair,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christoph Zimmermann,Defender,,,,,,,,,3,20,0,0,2,0,8,0,1,595,42.50,43,14,2,7,26,69,0,1,16,69,40,0,75,61,36,5,22,20,0,0,0,0,0,0,0,0,0,,,,,,,
Jamal Lewis,Defender,,,,,,,,,1,28,0,0,2,0,9,0,0,567,37.80,7,15,2,11,21,57,0,0,13,31,15,0,80,61,52,21,5,5,1,20,20,1,0,0,0,0,0,,,,,,,
Timm Klose,Defender,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Grant Hanley,Defender,,,,,,,,,1,20,0,1,2,0,9,0,0,436,39.64,18,11,2,6,15,53,0,1,19,56,34,0,34,63,30,1,38,16,0,0,0,0,0,0,0,0,0,,,,,,,
Max Aarons,Defender,,,,,,,,,4,43,0,0,5,0,18,0,0,875,38.04,19,23,3,14,29,76,0,6,16,44,14,0,118,105,118,32,10,31,7,45,27,0,1,0,0,0,0,,,,,,,
Sam Byram,Defender,,,,,,,,,3,23,0,0,4,0,16,0,0,622,38.88,14,16,4,8,39,56,0,5,25,60,33,0,72,96,86,6,43,39,0,7,14,0,1,0,0,0,1,,,,,,,
Ben Godfrey,Midfielder,,,,,,,,,,,0,,1,1,8,0,0,987,54.83,54,18,4,11,17,65,,0,18,82,44,,108,52,34,2,31,19,0,1,0,1,0,0,0,0,1,0.00,0,0,7,2,29,0
Mario Vrancic,Midfielder,,,,,,,,,,,1,,2,0,6,1,0,255,23.18,13,11,1,6,14,64,,4,6,1,0,,30,29,24,3,5,3,0,2,0,2,0,0,1,0,0,0.09,0,0,8,2,25,1
Moritz Leitner,Midfielder,,,,,,,,,,,0,,1,0,8,0,0,563,62.56,19,9,1,7,16,56,,2,9,8,2,,56,38,36,7,5,4,0,5,20,1,0,0,0,0,2,0.00,0,0,8,0,0,0
Emiliano Buendía,Midfielder,,,,,,,,,,,2,,3,0,21,0,7,1057,44.04,75,24,4,14,57,42,,7,19,16,7,,135,202,202,83,21,32,7,125,26,14,2,0,0,0,0,0.00,0,0,29,8,28,1
Marco Stiepermann,Midfielder,,,,,,,,,,,0,,4,0,19,0,0,326,19.18,7,17,2,12,15,40,,6,5,11,7,,47,56,106,15,13,48,1,4,0,4,0,0,0,0,1,0.00,0,0,18,6,33,0
Tom Trybull,Midfielder,,,,,,,,,,,0,,2,0,25,0,0,577,41.21,26,14,2,8,36,67,,3,13,31,14,,58,72,81,5,23,14,0,0,0,0,2,0,0,0,0,0.00,0,0,11,2,18,0
Kenny McLean,Midfielder,,,,,,,,,,,0,,4,0,17,1,1,1094,45.58,55,24,3,15,31,65,,4,28,42,32,,115,169,131,24,74,65,4,42,21,6,0,1,0,0,2,0.04,0,0,23,7,30,0
Onel Hernández,Midfielder,,,,,,,,,,,0,,0,0,7,1,1,172,10.12,2,17,1,10,14,71,,6,9,4,0,,51,50,87,26,2,17,0,20,5,0,7,0,1,0,0,0.06,0,0,15,5,33,1
Alexander Tettey,Midfielder,,,,,,,,,,,0,,4,0,16,1,1,813,42.79,27,19,4,10,14,79,,5,28,31,12,,113,53,62,12,22,16,1,3,33,1,0,0,0,1,1,0.05,0,0,16,4,25,0
Todd Cantwell,Midfielder,,,,,,,,,,,1,,4,0,23,6,2,794,31.76,19,25,4,15,29,69,,11,17,24,6,,110,122,142,35,15,32,1,18,6,3,2,0,5,1,0,0.24,0,0,36,16,44,3
