name,position,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Clean sheets,Goals conceded,Errors leading to goal,Own goals,Yellow cards,Red cards,Fouls,Goals,Assists,Passes,Passes per match,Accurate long balls,Appearances,Wins,Losses,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Big chances created,Crosses,Cross accuracy %,Through balls,Offsides,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed
Simon Moore,Goalkeeper,2,0,0,0,0,0,2,5,0,3,1,0,0,0,0,0,0,20,20.00,3,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dean Henderson,Goalkeeper,65,1,11,12,4,5,71,190,9,21,1,0,2,0,0,0,0,657,26.28,178,25,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Verrips,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jake Eastwood,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Baldock,Defender,,,,,,,,,9,24,1,0,6,0,33,2,3,752,28.92,12,26,10,7,46,72,0,2,27,48,25,0,123,129,118,28,24,34,1,85,26,0,7,0,2,0,0,,,,,,,
Enda Stevens,Defender,,,,,,,,,9,24,1,0,5,0,31,1,2,1047,40.27,51,26,10,7,61,57,0,4,30,40,16,0,172,144,127,49,22,22,8,88,19,2,2,1,0,0,0,,,,,,,
Jack O'Connell,Defender,,,,,,,,,9,24,1,0,3,0,17,0,1,1194,45.92,93,26,10,7,22,64,1,2,33,123,62,0,152,146,96,7,107,57,4,38,18,1,2,0,0,0,0,,,,,,,
Chris Basham,Defender,,,,,,,,,9,24,1,0,4,0,22,0,0,890,34.23,46,26,10,7,59,58,0,0,54,112,72,0,135,179,105,14,83,46,2,25,12,0,5,0,0,0,0,,,,,,,
John Egan,Defender,,,,,,,,,8,21,1,0,2,0,27,0,0,880,35.20,76,25,10,7,33,61,1,7,39,125,56,0,127,134,97,1,88,58,0,2,0,0,1,0,0,0,0,,,,,,,
Kieron Freeman,Defender,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
