name,position,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Clean sheets,Goals conceded,Errors leading to goal,Own goals,Yellow cards,Red cards,Fouls,Goals,Assists,Passes,Passes per match,Accurate long balls,Appearances,Wins,Losses,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Big chances created,Crosses,Cross accuracy %,Through balls,Offsides,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed
Alex McCarthy,Goalkeeper,43,0,4,14,3,2,40,95,3,21,0,0,0,0,1,0,0,347,23.13,94,15,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angus Gunn,Goalkeeper,30,0,2,3,2,6,27,77,2,25,0,0,0,0,0,0,0,231,23.10,43,10,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harry Lewis,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jannik Vestergaard,Defender,,,,,,,,,3,21,0,0,1,0,6,1,0,463,38.58,24,12,3,7,12,75,0,1,16,68,36,0,46,60,38,3,39,16,1,1,100,0,0,1,0,0,0,,,,,,,
Jack Stephens,Defender,,,,,,,,,3,27,1,0,1,0,7,1,3,701,41.24,63,17,7,8,31,55,0,0,17,74,34,0,91,78,66,6,36,42,1,1,0,2,0,1,0,0,0,,,,,,,
Ryan Bertrand,Defender,,,,,,,,,3,31,0,0,3,1,15,1,1,677,33.85,28,20,7,10,28,61,0,3,27,13,3,0,78,87,92,4,35,40,3,71,28,2,1,0,1,0,0,,,,,,,
Jan Bednarek,Defender,,,,,,,,,4,46,3,0,3,0,23,1,0,1010,42.08,53,24,8,12,50,56,1,0,48,136,65,0,104,130,78,2,70,32,0,1,0,0,0,0,1,0,0,,,,,,,
Yan Valery,Defender,,,,,,,,,0,18,1,0,1,0,3,0,0,165,20.63,6,8,2,5,14,29,0,1,7,23,7,0,32,47,47,10,17,15,2,9,22,1,3,0,0,0,0,,,,,,,
Jake Vokins,Defender,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Kevin Danso,Defender,,,,,,,,,1,8,0,0,0,1,4,0,1,131,21.83,4,6,1,3,6,67,0,0,2,7,3,0,13,18,24,3,7,12,0,4,0,0,0,0,0,0,0,,,,,,,
Sam McQueen,Defender,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Kyle Walker-Peters,Defender,,,,,,,,,0,4,0,0,0,0,1,0,0,185,61.67,4,3,1,1,8,63,0,1,3,5,3,0,13,20,15,5,2,5,0,8,13,0,1,0,0,0,0,,,,,,,
Oriol Romeu,Midfielder,,,,,,,,,,,0,,3,0,25,0,0,699,34.95,31,20,8,10,46,61,,3,22,19,7,,108,98,94,9,31,26,1,4,25,1,1,0,0,0,0,0.00,0,0,4,0,0,0
James Ward-Prowse,Midfielder,,,,,,,,,,,0,,7,0,40,4,2,1011,40.44,49,25,9,12,66,50,,6,31,43,18,,173,144,137,10,45,42,5,173,25,2,0,0,3,1,0,0.16,1,1,36,16,44,1
Stuart Armstrong,Midfielder,,,,,,,,,,,0,,2,0,16,2,0,260,14.44,5,18,7,8,15,47,,4,6,10,4,,51,41,79,11,5,18,1,13,31,1,2,0,1,1,0,0.11,0,0,19,10,53,1
Nathan Redmond,Midfielder,,,,,,,,,,,0,,2,0,20,3,1,686,29.83,25,23,8,12,33,61,,10,9,5,0,,152,114,152,52,14,37,4,26,23,2,4,0,3,0,1,0.13,0,0,42,14,33,2
Pierre-Emile Højbjerg,Midfielder,,,,,,,,,,,0,,5,0,38,0,1,1374,57.25,77,24,9,11,58,62,,6,36,43,22,,253,158,148,31,43,34,0,18,39,3,1,0,0,0,0,0.00,0,0,35,7,20,2
Moussa Djenepo,Midfielder,,,,,,,,,,,0,,4,0,21,2,1,183,12.20,0,15,6,7,22,77,,3,7,9,3,,43,86,72,37,3,9,2,16,19,0,3,0,2,0,0,0.13,0,0,17,7,41,2
Sofiane Boufal,Midfielder,,,,,,,,,,,0,,2,0,22,0,2,226,14.13,5,16,4,8,12,50,,6,2,0,0,,36,79,100,46,4,8,4,20,5,1,2,0,0,0,0,0.00,0,0,17,6,35,1
William Smallbone,Midfielder,,,,,,,,,,,,,0,0,0,0,0,0,0.00,,0,0,0,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.00,0,0,0,0,0,0
Shane Long,Forward,,,,,,,,,,,,,0,0,20,1,2,237,15.80,,15,7,6,12,,,2,1,12,9,,,,,,,,2,8,,,9,1,0,0,2,0.07,0,0,22,9,41,6
Michael Obafemi,Forward,,,,,,,,,,,,,0,0,4,1,0,79,7.18,,11,5,5,4,,,3,3,0,0,,,,,,,,1,1,,,2,0,0,1,0,0.09,0,0,4,1,25,0
Che Adams,Midfielder,,,,,,,,,,,0,,0,0,12,0,1,148,7.79,1,19,7,10,1,0,,6,2,7,3,,35,39,79,9,24,46,3,8,13,2,7,0,0,0,1,0.00,0,0,15,2,13,5
Danny Ings,Forward,,,,,,,,,,,,,2,0,19,14,1,359,14.36,,25,9,12,26,,,15,6,8,5,,,,,,,,1,14,,,8,0,7,6,3,0.56,0,0,62,27,44,4
Daniel N'Lundulu,Forward,,,,,,,,,,,,,0,0,0,0,0,0,0.00,,0,0,0,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.00,0,0,0,0,0,0
