name,position,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Clean sheets,Goals conceded,Errors leading to goal,Own goals,Yellow cards,Red cards,Fouls,Goals,Assists,Passes,Passes per match,Accurate long balls,Appearances,Wins,Losses,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Big chances created,Crosses,Cross accuracy %,Through balls,Offsides,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed
Hugo Lloris,Goalkeeper,37,1,4,5,0,0,45,58,2,9,2,0,0,0,0,0,0,199,22.11,50,9,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paulo Gazzaniga,Goalkeeper,58,1,3,7,7,9,61,133,2,23,1,0,1,0,1,0,0,437,25.71,69,17,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfie Whiteman,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michel Vorm,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Austin,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toby Alderweireld,Defender,,,,,,,,,4,31,0,0,4,0,14,0,2,1561,65.04,108,24,10,8,27,74,0,2,25,118,58,1,125,87,74,0,56,49,2,9,44,12,1,0,0,0,0,,,,,,,
Jan Vertonghen,Defender,,,,,,,,,3,20,0,0,2,0,5,1,1,916,57.25,32,16,7,5,35,60,0,0,27,51,26,0,86,101,42,4,47,19,2,10,10,0,0,1,0,0,0,,,,,,,
Davinson Sánchez,Defender,,,,,,,,,2,23,0,0,4,0,15,0,0,1010,56.11,30,18,7,5,31,58,2,0,23,80,34,0,100,79,59,7,33,24,0,1,0,0,1,0,0,0,0,,,,,,,
Juan Foyth,Defender,,,,,,,,,0,3,1,0,1,0,2,0,0,56,14.00,2,4,1,0,7,43,0,0,1,2,1,0,9,12,7,2,3,1,0,0,0,0,0,0,0,0,0,,,,,,,
Serge Aurier,Defender,,,,,,,,,3,21,0,1,1,1,24,0,4,782,39.10,20,20,9,6,66,80,0,5,37,53,32,0,102,149,124,33,42,46,4,88,19,0,4,0,0,0,0,,,,,,,
Ben Davies,Defender,,,,,,,,,0,6,0,0,1,0,6,0,0,218,36.33,5,6,2,2,5,20,0,0,5,9,5,0,14,25,19,3,14,4,0,7,43,1,1,0,0,0,0,,,,,,,
Japhet Tanganga,Defender,,,,,,,,,2,1,0,0,1,0,3,0,0,93,31.00,1,3,1,1,11,55,0,0,6,19,15,1,14,21,13,2,5,4,0,0,0,0,0,0,0,0,0,,,,,,,
Dennis Cirkin,Defender,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Harry Winks,Midfielder,,,,,,,,,,,0,,6,0,13,0,0,1043,52.15,37,20,9,6,28,71,,1,21,17,4,,94,67,60,12,9,7,1,18,17,1,0,0,0,0,0,0.00,0,0,7,2,29,0
Erik Lamela,Midfielder,,,,,,,,,,,0,,2,0,17,2,1,374,24.93,11,15,5,5,16,88,,8,5,5,3,,56,49,82,15,3,14,0,44,14,1,1,0,0,2,0,0.13,0,0,22,8,36,0
Victor Wanyama,Midfielder,,,,,,,,,,,0,,1,0,1,0,0,19,9.50,1,2,1,1,0,0,,0,0,0,0,,4,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Eric Dier,Midfielder,,,,,,,,,,,0,,4,0,10,0,1,398,36.18,15,11,8,2,9,56,,0,10,26,17,,33,43,37,1,32,18,0,2,0,2,1,0,0,0,1,0.00,0,0,4,1,25,2
Moussa Sissoko,Midfielder,,,,,,,,,,,0,,6,0,32,2,1,910,45.50,26,20,8,7,22,64,,3,13,19,8,,148,85,105,31,22,16,1,21,10,3,2,0,2,0,1,0.10,0,0,13,3,23,3
Dele Alli,Midfielder,,,,,,,,,,,0,,2,0,7,7,3,650,36.11,15,18,7,5,26,46,,4,14,12,7,,90,90,115,27,14,27,6,6,0,4,6,0,5,2,0,0.39,0,0,29,15,52,1
Lucas Moura,Midfielder,,,,,,,,,,,0,,2,0,12,4,2,430,18.70,2,23,9,8,28,43,,12,9,15,8,,62,137,163,39,38,55,2,12,25,3,4,1,2,1,0,0.17,0,0,36,10,28,5
Tanguy Ndombele,Midfielder,,,,,,,,,,,0,,2,0,11,2,2,491,30.69,16,16,5,6,22,68,,3,13,5,1,,59,80,54,32,5,7,1,9,11,2,0,0,1,1,0,0.13,0,0,9,4,44,0
Oliver Skipp,Midfielder,,,,,,,,,,,0,,0,0,1,0,0,9,3.00,0,3,2,0,0,0,,0,0,0,0,,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ryan Sessegnon,Midfielder,,,,,,,,,,,0,,0,0,4,0,0,159,26.50,4,6,3,1,6,67,,1,3,10,8,,18,18,15,4,6,5,0,13,8,0,2,0,0,0,0,0.00,0,0,1,0,0,0
Gedson Fernandes,Midfielder,,,,,,,,,,,0,,0,0,0,0,0,12,6.00,0,2,1,0,0,0,,0,0,0,0,,5,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Giovani Lo Celso,Midfielder,,,,,,,,,,,0,,2,0,10,0,0,346,23.07,14,15,4,5,19,58,,2,3,11,5,,49,57,67,13,4,12,0,9,11,5,0,0,0,0,0,0.00,0,0,7,1,14,1
Son Heung-Min,Forward,,,,,,,,,,,,,0,1,11,7,7,514,25.70,,20,8,7,16,,,12,10,10,7,,,,,,,,9,34,,,12,1,3,3,3,0.35,0,0,57,23,40,4
Harry Kane,Forward,,,,,,,,,,,,,2,0,26,11,2,390,19.50,,20,8,7,11,,,12,5,20,18,,,,,,,,2,17,,,13,2,8,1,1,0.55,2,0,56,24,43,3
Troy Parrott,Forward,,,,,,,,,,,,,0,0,0,0,0,4,4.00,,1,1,0,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.00,0,0,0,0,0,0
Steven Bergwijn,Forward,,,,,,,,,,,,,0,0,0,1,0,17,17.00,,1,1,0,1,,,0,1,0,0,,,,,,,,0,1,,,0,0,1,0,0,1.00,0,0,1,1,100,0
