name,position,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Clean sheets,Goals conceded,Errors leading to goal,Own goals,Yellow cards,Red cards,Fouls,Goals,Assists,Passes,Passes per match,Accurate long balls,Appearances,Wins,Losses,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Big chances created,Crosses,Cross accuracy %,Through balls,Offsides,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed
Ben Foster,Goalkeeper,81,0,8,16,7,13,80,201,8,40,1,0,1,0,1,0,0,748,28.77,208,26,5,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Bachmann,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heurelho Gomes,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daryl Janmaat,Defender,,,,,,,,,3,5,0,1,1,0,5,0,1,267,33.38,8,8,1,2,14,71,0,2,7,19,5,0,38,22,17,5,2,1,1,24,29,0,0,0,0,0,0,,,,,,,
Adrian Mariappa,Defender,,,,,,,,,3,25,0,1,2,1,15,0,0,374,24.93,20,15,4,8,15,80,0,1,11,65,34,0,40,59,54,1,37,25,0,18,28,0,1,0,0,0,0,,,,,,,
Adam Masina,Defender,,,,,,,,,3,15,0,0,3,0,12,1,0,371,26.50,24,14,4,6,23,57,0,0,16,37,18,1,56,80,52,8,41,18,0,30,27,0,1,0,0,1,0,,,,,,,
Craig Cathcart,Defender,,,,,,,,,7,29,0,0,5,0,10,0,0,765,31.88,56,24,5,11,35,60,0,1,17,119,54,1,101,89,67,4,49,43,0,1,100,1,0,0,0,0,0,,,,,,,
Kiko Femenía,Defender,,,,,,,,,3,28,0,0,4,0,16,0,0,587,34.53,19,17,3,9,38,63,0,0,20,35,9,0,84,62,59,9,9,7,1,40,35,0,1,0,0,0,0,,,,,,,
José Holebas,Defender,,,,,,,,,1,26,0,0,5,0,17,0,0,405,33.75,14,12,2,7,25,60,0,1,3,29,19,0,43,70,68,7,34,21,0,67,25,0,0,0,0,0,0,,,,,,,
Christian Kabasele,Defender,,,,,,,,,5,14,0,0,1,2,13,0,1,410,25.63,37,16,4,4,25,60,0,1,30,82,35,0,60,75,56,7,36,32,0,0,0,0,0,0,0,0,0,,,,,,,
Craig Dawson,Defender,,,,,,,,,4,26,0,0,4,0,16,0,0,586,30.84,41,19,4,8,16,44,0,4,21,78,49,0,68,72,48,2,49,26,0,1,0,1,0,0,0,0,1,,,,,,,
Mason Barrett,Defender,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Bayli Spencer-Adams,Defender,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Jamal Balogun,Defender,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Andi Janjeva,Defender,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Tom Cleverley,Midfielder,,,,,,,,,,,0,,0,0,7,1,0,293,32.56,10,9,0,4,14,64,,6,7,8,0,,32,31,30,7,7,6,0,17,24,0,0,0,1,0,0,0.11,0,0,15,4,27,2
Nathaniel Chalobah,Midfielder,,,,,,,,,,,0,,1,0,4,0,1,286,20.43,9,14,4,4,20,30,,3,14,16,8,,54,44,37,4,13,8,2,16,19,0,0,0,0,0,0,0.00,0,0,8,0,0,0
Abdoulaye Doucouré,Midfielder,,,,,,,,,,,0,,7,0,38,4,1,1233,49.32,31,25,5,12,52,48,,14,21,19,6,,201,128,149,30,37,42,4,15,27,0,4,0,4,0,0,0.16,0,0,44,9,20,3
Will Hughes,Midfielder,,,,,,,,,,,0,,4,0,28,1,1,439,24.39,3,18,3,9,39,67,,5,18,16,8,,66,90,91,11,13,15,1,23,22,1,1,0,1,0,0,0.06,0,0,16,2,13,1
Domingos Quina,Midfielder,,,,,,,,,,,0,,0,0,1,0,0,10,2.50,0,4,1,3,2,0,,0,0,0,0,,4,4,6,1,0,2,0,0,0,0,0,0,0,0,0,0.00,0,0,1,1,100,0
Etienne Capoue,Midfielder,,,,,,,,,,,0,,6,0,42,0,2,1067,50.81,79,21,5,11,62,50,,5,52,42,24,,169,145,122,19,37,14,1,12,33,1,0,0,0,0,0,0.00,0,0,17,1,6,0
Roberto Pereyra,Midfielder,,,,,,,,,,,0,,3,0,16,3,0,436,21.80,8,20,4,7,15,47,,8,9,4,2,,68,62,90,16,4,17,1,17,24,0,4,0,2,1,0,0.15,1,0,17,6,35,1
Tom Dele-Bashiru,Midfielder,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Callum Whelan,Midfielder,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Joseph Hungbo,Midfielder,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ignacio Pussetto,Midfielder,,,,,,,,,,,0,,0,0,2,0,0,19,4.75,2,4,0,2,4,25,,0,3,1,0,,7,7,9,2,0,4,0,2,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Henry Wise,Midfielder,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jayden Bennetts,Midfielder,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Gerard Deulofeu,Forward,,,,,,,,,,,,,3,0,26,4,5,666,25.62,,26,5,12,32,,,20,24,5,0,,,,,,,,5,92,,,16,0,3,1,4,0.15,1,0,59,20,34,5
Troy Deeney,Forward,,,,,,,,,,,,,3,0,21,5,1,390,26.00,,15,4,7,14,,,10,8,19,14,,,,,,,,5,4,,,5,1,3,1,0,0.33,2,0,28,14,50,5
Isaac Success,Forward,,,,,,,,,,,,,1,0,2,0,0,17,3.40,,5,1,3,0,,,0,1,0,0,,,,,,,,0,2,,,0,0,0,0,0,0.00,0,0,1,1,100,0
Andre Gray,Forward,,,,,,,,,,,,,1,0,8,2,0,138,7.26,,19,2,11,4,,,3,1,2,1,,,,,,,,3,3,,,5,0,2,0,0,0.11,0,0,19,7,37,3
Danny Welbeck,Forward,,,,,,,,,,,,,0,0,3,0,0,53,7.57,,7,0,4,8,,,1,0,2,1,,,,,,,,0,0,,,0,0,0,0,0,0.00,0,0,5,2,40,1
Ismaila Sarr,Forward,,,,,,,,,,,,,1,0,11,3,2,264,16.50,,16,4,7,7,,,10,9,5,3,,,,,,,,5,45,,,8,0,3,0,0,0.19,0,0,30,7,23,4
Sam Dalby,Forward,,,,,,,,,,,,,0,0,0,0,0,0,0.00,,0,0,0,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.00,0,0,0,0,0,0
João Pedro,Forward,,,,,,,,,,,,,0,0,0,0,0,0,0.00,,0,0,0,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.00,0,0,0,0,0,0
Kaylen Hinds,Forward,,,,,,,,,,,,,0,0,0,0,0,0,0.00,,0,0,0,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.00,0,0,0,0,0,0
