name,position,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Clean sheets,Goals conceded,Errors leading to goal,Own goals,Yellow cards,Red cards,Fouls,Goals,Assists,Passes,Passes per match,Accurate long balls,Appearances,Wins,Losses,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Big chances created,Crosses,Cross accuracy %,Through balls,Offsides,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed
Lukasz Fabianski,Goalkeeper,35,1,5,4,2,3,46,76,4,15,1,0,1,0,1,0,0,258,21.50,97,12,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Martin,Goalkeeper,15,0,1,1,0,0,12,44,2,6,1,0,1,0,0,0,0,111,22.20,40,5,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joseph Anang,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darren Randolph,Goalkeeper,6,0,0,0,0,1,4,14,0,5,0,0,0,0,0,0,0,36,18.00,16,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winston Reid,Defender,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Aaron Cresswell,Defender,,,,,,,,,4,33,0,0,6,0,12,3,0,838,44.11,43,19,4,11,34,59,0,2,21,32,19,1,110,79,77,6,27,22,1,80,16,0,1,0,1,2,0,,,,,,,
Fabián Balbuena,Defender,,,,,,,,,3,22,2,0,2,0,6,1,0,468,36.00,34,13,3,8,16,69,0,2,25,60,37,0,64,71,56,2,53,34,1,1,0,1,0,0,1,0,0,,,,,,,
Pablo Zabaleta,Defender,,,,,,,,,0,13,0,0,2,0,6,0,0,242,26.89,6,9,1,5,17,59,0,0,13,15,8,0,27,35,26,2,7,12,1,15,7,0,0,0,0,0,0,,,,,,,
Angelo Ogbonna,Defender,,,,,,,,,6,29,0,1,4,0,14,2,0,672,33.60,50,20,6,9,28,61,0,1,16,82,43,0,87,98,68,3,57,43,0,1,0,1,0,0,0,1,0,,,,,,,
Issa Diop,Defender,,,,,,,,,3,35,1,0,7,0,21,2,0,619,32.58,30,19,4,9,20,55,1,0,30,79,37,0,94,84,52,4,51,20,1,1,0,0,0,1,1,0,0,,,,,,,
Ryan Fredericks,Defender,,,,,,,,,5,29,0,0,5,0,21,0,2,630,33.16,24,19,6,9,62,65,0,0,17,42,19,1,85,111,85,8,28,28,1,44,23,0,0,0,0,0,0,,,,,,,
Arthur Masuaku,Defender,,,,,,,,,1,16,0,0,2,1,8,0,1,454,32.43,14,14,4,6,35,60,0,0,14,19,10,0,67,76,66,22,10,14,2,24,21,2,0,0,0,0,0,,,,,,,
Gonçalo Cardoso,Defender,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Jeremy Ngakia,Defender,,,,,,,,,0,2,0,0,0,0,0,0,0,21,21.00,1,1,0,1,3,100,0,0,0,0,0,0,3,7,5,2,2,3,0,3,0,1,0,0,0,0,0,,,,,,,
Felipe Anderson,Midfielder,,,,,,,,,,,0,,1,0,14,1,4,831,43.74,38,19,5,11,42,71,,8,21,10,5,,101,127,106,57,6,13,4,31,26,5,2,0,1,0,1,0.05,0,0,21,8,38,3
Manuel Lanzini,Midfielder,,,,,,,,,,,0,,0,0,4,0,2,666,35.05,22,19,3,10,10,80,,5,9,3,2,,71,69,64,32,4,14,2,40,38,5,4,0,0,0,0,0.00,0,0,19,7,37,3
Robert Snodgrass,Midfielder,,,,,,,,,,,0,,4,0,20,5,4,462,23.10,17,20,5,11,24,50,,5,4,8,6,,89,85,108,18,14,25,5,126,29,2,3,0,0,5,1,0.25,0,0,21,10,48,2
Carlos Sánchez,Midfielder,,,,,,,,,,,0,,0,0,2,0,0,59,9.83,4,6,3,2,1,0,,0,2,1,0,,10,4,5,1,2,2,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Mark Noble,Midfielder,,,,,,,,,,,0,,3,0,22,4,1,1021,46.41,78,22,6,11,38,68,,2,16,7,5,,127,89,93,18,13,9,2,13,15,2,0,0,4,0,0,0.18,3,0,15,6,40,0
Jack Wilshere,Midfielder,,,,,,,,,,,0,,0,0,0,0,0,64,10.67,1,6,1,3,1,0,,0,0,0,0,,11,12,12,1,5,1,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Michail Antonio,Midfielder,,,,,,,,,,,0,,0,0,17,1,1,193,17.55,2,11,3,6,7,71,,6,7,4,4,,25,92,101,31,43,53,1,17,24,3,5,0,1,0,1,0.09,0,0,28,12,43,4
Declan Rice,Defender,,,,,,,,,6,43,0,0,4,0,27,0,1,1190,47.60,86,25,6,13,78,54,0,3,51,31,17,0,221,148,116,32,35,27,1,14,43,0,2,0,0,0,1,,,,,,,
Pablo Fornals,Midfielder,,,,,,,,,,,0,,1,0,11,1,3,488,20.33,21,24,6,12,32,59,,7,14,5,3,,81,59,89,11,7,27,2,43,16,3,7,0,1,0,0,0.04,0,0,23,7,30,1
Ben Johnson,Midfielder,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Bernardo Rosa,Midfielder,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Tomas Soucek,Midfielder,,,,,,,,,,,0,,0,0,1,0,0,19,19.00,0,1,0,0,5,60,,1,3,3,1,,3,10,8,0,3,7,0,0,0,0,0,0,0,0,0,0.00,0,0,2,1,50,1
Andriy Yarmolenko,Forward,,,,,,,,,,,,,2,0,14,3,1,309,20.60,,15,5,6,10,,,3,4,2,1,,,,,,,,6,14,,,8,0,0,3,1,0.20,0,0,20,9,45,2
Sébastien Haller,Forward,,,,,,,,,,,,,1,0,39,6,1,664,27.67,,24,6,13,17,,,9,8,16,13,,,,,,,,0,5,,,16,0,4,2,0,0.25,0,0,47,21,45,5
Albian Ajeti,Forward,,,,,,,,,,,,,0,0,6,0,0,15,1.88,,8,0,6,1,,,2,0,0,0,,,,,,,,0,0,,,2,0,0,0,0,0.00,0,0,2,0,0,0
Jarrod Bowen,Forward,,,,,,,,,,,,,0,0,0,0,0,0,0.00,,0,0,0,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.00,0,0,0,0,0,0
