name,position,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Clean sheets,Goals conceded,Errors leading to goal,Own goals,Yellow cards,Red cards,Fouls,Goals,Assists,Passes,Passes per match,Accurate long balls,Appearances,Wins,Losses,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Big chances created,Crosses,Cross accuracy %,Through balls,Offsides,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed
Rui Patrício,Goalkeeper,67,2,3,9,3,1,88,199,5,32,2,0,0,0,0,0,0,486,19.44,174,25,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Ruddy,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andreas Söndergaard,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Doherty,Defender,,,,,,,,,4,24,0,0,1,0,15,3,0,911,39.61,31,23,8,4,24,46,1,7,24,29,17,0,88,143,98,17,95,51,0,28,11,1,2,1,0,2,1,,,,,,,
Willy Boly,Defender,,,,,,,,,4,7,0,0,0,1,12,0,1,377,41.89,18,9,2,1,26,54,0,0,19,56,35,0,55,76,34,5,41,11,2,2,0,0,0,0,0,0,0,,,,,,,
Conor Coady,Midfielder,,,,,,,,,,,2,,2,0,11,0,0,1235,49.40,179,25,8,6,30,67,,0,17,82,48,,180,60,40,4,22,15,1,0,0,3,0,0,0,0,0,0.00,0,0,0,0,0,0
Jonny,Defender,,,,,,,,,4,29,1,0,4,0,27,1,1,765,31.88,11,24,8,5,65,60,0,6,40,24,12,0,120,132,154,18,32,39,0,39,10,0,2,0,1,0,0,,,,,,,
Rúben Vinagre,Defender,,,,,,,,,0,4,0,0,1,0,5,0,0,131,13.10,4,10,3,3,11,73,0,0,3,9,4,0,31,29,25,10,2,3,1,19,37,0,0,0,0,0,0,,,,,,,
Maximilian Kilman,Defender,,,,,,,,,0,2,0,0,0,0,2,0,0,101,33.67,2,3,1,1,4,50,0,0,4,7,3,0,9,17,11,1,12,10,0,0,0,0,0,0,0,0,0,,,,,,,
Oskar Buur,Defender,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Flávio Cristóvão,Defender,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Lewis Richards,Defender,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Rúben Neves,Midfielder,,,,,,,,,,,0,,6,0,19,2,1,1274,50.96,128,25,8,6,35,51,,16,33,22,8,,180,79,83,18,17,21,1,28,21,4,0,0,2,0,0,0.08,0,0,39,6,15,0
Morgan Gibbs-White,Midfielder,,,,,,,,,,,0,,0,0,2,0,0,73,18.25,1,4,1,2,0,0,,0,2,0,0,,5,6,5,1,4,2,0,2,0,1,0,0,0,0,0,0.00,0,0,2,0,0,0
Romain Saïss,Midfielder,,,,,,,,,,,0,,7,1,28,2,0,999,47.57,78,21,8,6,32,66,,3,32,73,41,,107,125,78,4,73,37,0,7,14,1,2,1,0,1,0,0.10,0,0,18,7,39,4
João Moutinho,Midfielder,,,,,,,,,,,0,,5,0,30,1,6,1301,52.04,101,25,8,6,70,57,,4,39,9,3,,182,111,137,12,14,16,6,160,29,3,3,0,1,0,0,0.04,0,1,17,6,35,0
Leander Dendoncker,Midfielder,,,,,,,,,,,1,,2,0,18,2,0,1021,40.84,59,25,8,6,47,40,,4,31,54,39,,113,129,113,13,65,57,1,5,20,0,0,0,2,0,0,0.08,0,0,10,3,30,1
Bruno Jordão,Midfielder,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Taylor Perry,Midfielder,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Meritan Shabani,Midfielder,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Luke Cundle,Midfielder,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Terry Taylor,Midfielder,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Chem Campbell,Midfielder,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Owen Otasowie,Midfielder,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Daniel Podence,Midfielder,,,,,,,,,,,0,,0,0,0,0,0,7,7.00,1,1,0,0,1,100,,1,0,0,0,,1,2,1,0,0,1,1,1,100,0,0,0,0,0,0,0.00,0,0,1,0,0,0
Diogo Jota,Forward,,,,,,,,,,,,,3,0,29,3,0,526,25.05,,21,5,6,18,,,18,7,7,3,,,,,,,,0,28,,,3,0,2,1,0,0.14,0,0,49,17,35,8
Adama Traoré,Forward,,,,,,,,,,,,,0,0,30,4,7,536,22.33,,24,8,6,31,,,14,11,12,7,,,,,,,,9,132,,,4,0,4,0,1,0.17,0,0,30,8,27,0
Raúl Jiménez,Forward,,,,,,,,,,,,,2,0,27,11,6,635,25.40,,25,8,6,15,,,21,12,18,13,,,,,,,,12,14,,,16,3,6,2,3,0.44,3,0,81,32,40,6
Pedro Neto,Forward,,,,,,,,,,,,,2,0,9,2,2,227,12.61,,18,6,4,5,,,4,3,1,0,,,,,,,,4,29,,,1,0,1,1,0,0.11,0,0,12,4,33,2
Leonardo Campana,Forward,,,,,,,,,,,,,0,0,0,0,0,0,0.00,,0,0,0,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.00,0,0,0,0,0,0
